Muscle_Pair,Friedman_Chi2,df,p_value,n_subjects,Kendalls_W,Effect_Size
MTL_MTR,33.86666666666667,4,7.936112105855068e-7,57,0.14853801169590644,Small
SCML_MTL,28.041379310344826,4,1.2234373179929619e-5,58,0.1208680142687277,Small
SCML_SCMR,6.414035087719299,4,0.17028810022859403,57,0.028131732840874116,Negligible
SCML_STL,19.958620689655174,4,5.088803077452184e-4,58,0.08602853745541023,Negligible
SCML_UTL,29.50344827586207,4,6.176404143896346e-6,58,0.12717003567181925,Small
SCMR_MTR,18.985714285714284,4,7.910397099118331e-4,56,0.08475765306122449,Negligible
SCMR_STR,27.2,4,1.811122816736802e-5,56,0.12142857142857143,Small
SCMR_UTR,23.81387181738367,4,8.703753683606711e-5,57,0.10444680621659505,Small
STL_STR,16.140350877192983,4,0.0028365015580190792,57,0.07079101261926747,Negligible
UTL_MTL,31.6,4,2.3091729829079455e-6,58,0.13620689655172413,Small
UTL_UTR,20.924935289042278,4,3.277073315805846e-4,58,0.09019368659069947,Negligible
UTR_MTR,35.424056189640034,4,3.800885579631002e-7,57,0.1553686674984212,Small
