Muscle_Pair,Phase,Comparison,Group1_Mean,Group2_Mean,Group1_SD,Group2_SD,Group1_n,Group2_n,t_statistic,df,p_value,p_adjusted,Significant
MTL_MTR,Warmup,High-WanT vs Low-WanT,0.841426602,0.826439427,0.076573587,0.085049569,30,27,0.69624604,52.65084677,0.489337103,1,No
MTL_MTR,SecondThreshold,High-WanT vs Low-WanT,0.776188801,0.817311669,0.193142634,0.115860122,30,27,-0.985664489,48.22668389,0.329217234,1,No
MTL_MTR,VO2max,High-WanT vs Low-WanT,0.705636934,0.78572055,0.188093988,0.097430994,30,27,-2.046777933,44.46123025,0.046618948,0.233094742,No
MTL_MTR,WanT,High-WanT vs Low-WanT,0.684513421,0.708967125,0.180895657,0.158796429,30,27,-0.543454301,54.9710459,0.589014242,1,No
MTL_MTR,Cooldown,High-WanT vs Low-WanT,0.695550813,0.772688051,0.187911849,0.168369079,30,27,-1.634586336,54.99964782,0.10784735,0.539236751,No
SCML_MTL,Warmup,High-WanT vs Low-WanT,0.728665711,0.729624238,0.152883908,0.106613761,30,28,-0.027844136,51.94606015,0.977893163,1,No
SCML_MTL,SecondThreshold,High-WanT vs Low-WanT,0.623594608,0.725668216,0.212583079,0.140094536,30,28,-2.172599708,50.51885322,0.034527116,0.172635578,No
SCML_MTL,VO2max,High-WanT vs Low-WanT,0.559759826,0.675437497,0.192357799,0.191691935,30,28,-2.292677787,55.75140429,0.025662399,0.128311993,No
SCML_MTL,WanT,High-WanT vs Low-WanT,0.530059121,0.593666734,0.200611146,0.184811064,30,28,-1.256831746,55.99220967,0.214032438,1,No
SCML_MTL,Cooldown,High-WanT vs Low-WanT,0.525648745,0.620338444,0.206326777,0.178711038,30,28,-1.871595807,55.70238887,0.066517178,0.332585891,No
SCML_SCMR,Warmup,High-WanT vs Low-WanT,0.739526601,0.727580475,0.153047888,0.124929931,29,28,0.323326465,53.5388607,0.747707547,1,No
SCML_SCMR,SecondThreshold,High-WanT vs Low-WanT,0.714370444,0.732741649,0.169542163,0.177754984,29,28,-0.399030059,54.62410341,0.691426808,1,No
SCML_SCMR,VO2max,High-WanT vs Low-WanT,0.705674101,0.762150731,0.153719819,0.137191449,29,28,-1.464572625,54.66957148,0.148764796,0.74382398,No
SCML_SCMR,WanT,High-WanT vs Low-WanT,0.654228054,0.718803273,0.139843473,0.142756357,29,28,-1.724499184,54.82600915,0.090252097,0.451260484,No
SCML_SCMR,Cooldown,High-WanT vs Low-WanT,0.624168059,0.720531689,0.174622641,0.169895049,29,28,-2.111717803,54.99622704,0.039268274,0.196341368,No
SCML_STL,Warmup,High-WanT vs Low-WanT,0.678669128,0.646724335,0.145665197,0.186373942,30,28,0.723811285,51.09926083,0.472482355,1,No
SCML_STL,SecondThreshold,High-WanT vs Low-WanT,0.704050305,0.702336469,0.133037717,0.201428671,30,28,0.037954063,46.31354262,0.969887439,1,No
SCML_STL,VO2max,High-WanT vs Low-WanT,0.695853294,0.730753391,0.14480494,0.186110321,30,28,-0.793186769,50.97838472,0.431345349,1,No
SCML_STL,WanT,High-WanT vs Low-WanT,0.578659973,0.6607617,0.177871661,0.17645765,30,28,-1.763831791,55.78374522,0.083236023,0.416180114,No
SCML_STL,Cooldown,High-WanT vs Low-WanT,0.648306021,0.598994077,0.144075521,0.182474616,30,28,1.136961627,51.36916201,0.260830259,1,No
SCML_UTL,Warmup,High-WanT vs Low-WanT,0.719471189,0.711476301,0.145731549,0.15316021,30,28,0.203351933,55.20756746,0.83960764,1,No
SCML_UTL,SecondThreshold,High-WanT vs Low-WanT,0.687343677,0.698589867,0.162824796,0.190959506,30,28,-0.240532226,53.2477534,0.810841375,1,No
SCML_UTL,VO2max,High-WanT vs Low-WanT,0.629876858,0.640662475,0.192662505,0.188215167,30,28,-0.215605803,55.87716536,0.83008012,1,No
SCML_UTL,WanT,High-WanT vs Low-WanT,0.561559301,0.58954905,0.208730048,0.197834916,30,28,-0.524288362,55.98454539,0.602147729,1,No
SCML_UTL,Cooldown,High-WanT vs Low-WanT,0.514158903,0.619352628,0.197965289,0.149374508,30,28,-2.29375436,53.70662023,0.025743896,0.128719478,No
SCMR_MTR,Warmup,High-WanT vs Low-WanT,0.695894964,0.741312909,0.177921102,0.121244085,29,27,-1.122875238,49.60670408,0.266895731,1,No
SCMR_MTR,SecondThreshold,High-WanT vs Low-WanT,0.608141079,0.723447981,0.203744658,0.201231766,29,27,-2.129758344,53.80375748,0.037782717,0.188913586,No
SCMR_MTR,VO2max,High-WanT vs Low-WanT,0.510954628,0.710155048,0.181094281,0.169822621,29,27,-4.247928229,53.99608334,8.57E-05,4.28E-04,Yes
SCMR_MTR,WanT,High-WanT vs Low-WanT,0.579624652,0.581682307,0.184142074,0.194036377,29,27,-0.040638604,53.16971063,0.967736226,1,No
SCMR_MTR,Cooldown,High-WanT vs Low-WanT,0.549248873,0.688635999,0.217269668,0.203747732,29,27,-2.477500901,53.99607725,0.016391204,0.081956022,No
SCMR_STR,Warmup,High-WanT vs Low-WanT,0.547501631,0.614876136,0.184460933,0.215279372,28,28,-1.257548655,52.76038759,0.214092927,1,No
SCMR_STR,SecondThreshold,High-WanT vs Low-WanT,0.665409077,0.648152575,0.209671033,0.195793388,28,28,0.318302326,53.74873191,0.751489143,1,No
SCMR_STR,VO2max,High-WanT vs Low-WanT,0.67620636,0.704025225,0.158531562,0.169646555,28,28,-0.633978969,53.75392157,0.528783275,1,No
SCMR_STR,WanT,High-WanT vs Low-WanT,0.606738483,0.631684867,0.145822809,0.198213066,28,28,-0.536438371,49.60492655,0.594053343,1,No
