Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher,Section,Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-corr,p-adjust,hedges
phase,106.9613439989613,3.0,35.6537813329871,139.03254543689818,2.6476143394182782e-45,4.030864558566727e-27,0.63662832437298,0.574201328014978,False,0.2880684289404372,2.5954922597485517e-13,OneWay_RM_ANOVA,,,,,,,,,,,,,,
Error,43.082252756858296,168.0,0.2564419806955851,,,,,,,,,OneWay_RM_ANOVA,,,,,,,,,,,,,,
,,,,,1.1670020984965039e-10,,,,,,,PostHoc_All,phase,CD,ST,-0.6778464588037882,0.38252650844317004,0.020334743369285237,0.09341328850576265,True,False,15.0,two-sided,7.002012590979023e-10,bonf,-2.49068674192377
,,,,,3.829486005408706e-10,,,,,,,PostHoc_All,phase,CD,VO2,-0.6778464588037882,0.38252650844317004,-0.009347420735467743,0.4154278599262983,True,False,38.0,two-sided,2.2976916032452234e-09,bonf,-1.662873899960411
,,,,,1.2957180263656208e-10,,,,,,,PostHoc_All,phase,CD,WanT,-0.6778464588037882,0.38252650844317004,-1.6667109754500946,0.873247674509232,True,False,17.0,two-sided,7.774308158193725e-10,bonf,1.4570419175705276
,,,,,0.35671422747182346,,,,,,,PostHoc_All,phase,ST,VO2,0.020334743369285237,0.09341328850576265,-0.009347420735467743,0.4154278599262983,True,False,710.0,two-sided,1.0,bonf,0.09792182525264499
,,,,,5.28272486561805e-11,,,,,,,PostHoc_All,phase,ST,WanT,0.020334743369285237,0.09341328850576265,-1.6667109754500946,0.873247674509232,True,False,0.0,two-sided,3.16963491937083e-10,bonf,2.698417459458994
,,,,,5.5717740783625447e-11,,,,,,,PostHoc_All,phase,VO2,WanT,-0.009347420735467743,0.4154278599262983,-1.6667109754500946,0.873247674509232,True,False,1.0,two-sided,3.343064447017527e-10,bonf,2.4075177209384586
,,,,,1.1670020984965039e-10,,,,,,,PostHoc_Sig,phase,CD,ST,-0.6778464588037882,0.38252650844317004,0.020334743369285237,0.09341328850576265,True,False,15.0,two-sided,7.002012590979023e-10,bonf,-2.49068674192377
,,,,,3.829486005408706e-10,,,,,,,PostHoc_Sig,phase,CD,VO2,-0.6778464588037882,0.38252650844317004,-0.009347420735467743,0.4154278599262983,True,False,38.0,two-sided,2.2976916032452234e-09,bonf,-1.662873899960411
,,,,,1.2957180263656208e-10,,,,,,,PostHoc_Sig,phase,CD,WanT,-0.6778464588037882,0.38252650844317004,-1.6667109754500946,0.873247674509232,True,False,17.0,two-sided,7.774308158193725e-10,bonf,1.4570419175705276
,,,,,5.28272486561805e-11,,,,,,,PostHoc_Sig,phase,ST,WanT,0.020334743369285237,0.09341328850576265,-1.6667109754500946,0.873247674509232,True,False,0.0,two-sided,3.16963491937083e-10,bonf,2.698417459458994
,,,,,5.5717740783625447e-11,,,,,,,PostHoc_Sig,phase,VO2,WanT,-0.009347420735467743,0.4154278599262983,-1.6667109754500946,0.873247674509232,True,False,1.0,two-sided,3.343064447017527e-10,bonf,2.4075177209384586
