muscle,phase,count,mean,std,median,min,max
MTL,CD,60,-0.8347,0.4885,-0.7779,-2.5918,-0.1643
MTL,ST,59,0.0421,0.12,0.0324,-0.201,0.4468
MTL,VO2,58,-0.0718,0.5511,0.0158,-1.6681,1.3524
MTL,WanT,59,-2.1123,1.2557,-1.6212,-6.0507,-0.3563
MTR,CD,60,-0.9273,0.7443,-0.6909,-4.5068,0.0895
MTR,ST,59,0.0444,0.1795,0.0424,-0.352,0.798
MTR,VO2,58,0.0532,0.4151,0.0304,-1.1693,1.606
MTR,WanT,59,-2.053,1.084,-1.9916,-5.6913,-0.2346
SCML,CD,60,-1.1425,0.8086,-1.0999,-4.0996,0.6777
SCML,ST,59,-0.0238,0.2529,-0.0146,-0.7932,0.8899
SCML,VO2,58,-0.1216,1.4003,-0.0109,-9.7564,2.8181
SCML,WanT,59,-3.1956,1.6945,-3.0993,-9.4562,-0.138
SCMR,CD,60,-1.404,1.5868,-1.1347,-11.6826,0.0747
SCMR,ST,59,-0.0018,0.3562,0.0001,-1.6821,1.0171
SCMR,VO2,58,0.0843,0.9851,0.0346,-5.3052,2.6995
SCMR,WanT,59,-2.9661,2.5145,-2.4578,-15.2037,-0.2311
STL,CD,60,-0.7612,0.5887,-0.7062,-4.4635,-0.043
STL,ST,59,0.0713,0.2628,0.0299,-0.4348,1.2088
STL,VO2,58,-0.0698,0.4294,0.0327,-1.8653,0.7039
STL,WanT,59,-1.6689,1.3546,-1.45,-10.2482,0.0056
STR,CD,59,-0.685,0.3781,-0.7324,-1.8098,0.5598
STR,ST,59,0.0218,0.0921,0.0323,-0.2603,0.264
STR,VO2,58,-0.0087,0.4118,-0.0194,-1.3191,2.0795
STR,WanT,58,-1.6658,0.8656,-1.5328,-4.5867,0.0106
UTL,CD,60,-0.8446,0.6453,-0.7905,-2.9102,0.0977
UTL,ST,59,0.0306,0.2885,0.0265,-1.0083,1.0955
UTL,VO2,58,0.0767,0.6752,0.0615,-2.4009,3.0513
UTL,WanT,59,-2.6033,1.723,-2.1148,-8.1837,-0.4116
UTR,CD,59,-0.9431,0.7294,-0.7812,-4.3318,0.0772
UTR,ST,59,0.0291,0.2178,0.02,-1.0315,1.0041
UTR,VO2,58,-0.0101,0.6442,0.0116,-3.8773,1.0857
UTR,WanT,58,-2.7424,1.4058,-2.4422,-6.5498,-0.6239
