Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges,muscle
phase,CD,ST,-0.8496816658359639,0.49374610610683356,0.03635184460417387,0.11790077364412087,True,False,0.0,two-sided,5.28272486561805e-11,3.16963491937083e-10,bonf,-2.4518581487282227,MTL
phase,CD,VO2,-0.8496816658359639,0.49374610610683356,-0.06999859388840457,0.5558673547869009,True,False,112.0,two-sided,1.4041776175374662e-08,8.425065705224797e-08,bonf,-1.4731088916158606,MTL
phase,CD,WanT,-0.8496816658359639,0.49374610610683356,-2.1247345135587588,1.275969008220009,True,False,4.0,two-sided,6.534899414840058e-11,3.920939648904035e-10,bonf,1.3091197700657693,MTL
phase,ST,WanT,0.03635184460417387,0.11790077364412087,-2.1247345135587588,1.275969008220009,True,False,0.0,two-sided,5.28272486561805e-11,3.16963491937083e-10,bonf,2.3690614214107044,MTL
phase,VO2,WanT,-0.06999859388840457,0.5558673547869009,-2.1247345135587588,1.275969008220009,True,False,17.0,two-sided,1.2957180263656208e-10,7.774308158193725e-10,bonf,2.0738248350514943,MTL
phase,CD,ST,-0.9308808232228704,0.7590236277040499,0.03976265613036576,0.17357320159360717,True,False,5.0,two-sided,6.890758207491713e-11,4.134454924495028e-10,bonf,-1.7511617877018293,MTR
phase,CD,VO2,-0.9308808232228704,0.7590236277040499,0.0549228792744946,0.4185265289262651,True,False,30.0,two-sided,2.542420611111184e-10,1.5254523666667102e-09,bonf,-1.5976424583054107,MTR
phase,CD,WanT,-0.9308808232228704,0.7590236277040499,-2.032866999125293,1.0967468932652231,True,False,96.0,two-sided,6.631416634102543e-09,3.9788499804615253e-08,bonf,1.1605990319654034,MTR
phase,ST,WanT,0.03976265613036576,0.17357320159360717,-2.032866999125293,1.0967468932652231,True,False,0.0,two-sided,5.28272486561805e-11,3.16963491937083e-10,bonf,2.6220072564050954,MTR
phase,VO2,WanT,0.0549228792744946,0.4185265289262651,-2.032866999125293,1.0967468932652231,True,False,2.0,two-sided,5.876275546778772e-11,3.5257653280672627e-10,bonf,2.498329725729213,MTR
phase,CD,ST,-1.1461925838702118,0.8191347999490141,-0.026163058567407565,0.2568224987485058,True,False,50.0,two-sided,7.026899586605776e-10,4.216139751963466e-09,bonf,-1.8327531060179634,SCML
phase,CD,VO2,-1.1461925838702118,0.8191347999490141,-0.12570978083427278,1.412355193832205,True,False,80.0,two-sided,3.082838698400273e-09,1.8497032190401638e-08,bonf,-0.8779871016976454,SCML
phase,CD,WanT,-1.1461925838702118,0.8191347999490141,-3.172532806879731,1.7190860740301372,True,False,30.0,two-sided,2.542420611111184e-10,1.5254523666667102e-09,bonf,1.4947708255866254,SCML
phase,ST,WanT,-0.026163058567407565,0.2568224987485058,-3.172532806879731,1.7190860740301372,True,False,0.0,two-sided,5.28272486561805e-11,3.16963491937083e-10,bonf,2.5427836259732377,SCML
phase,VO2,WanT,-0.12570978083427278,1.412355193832205,-3.172532806879731,1.7190860740301372,True,False,56.0,two-sided,9.486994756290248e-10,5.6921968537741485e-09,bonf,1.9236891413340262,SCML
phase,CD,ST,-1.3449502986716346,1.5787807733896253,-0.009860346841772064,0.3583223296480807,True,False,54.0,two-sided,8.585801106846866e-10,5.151480664108119e-09,bonf,-1.158436232553769,SCMR
phase,CD,VO2,-1.3449502986716346,1.5787807733896253,0.0849194231879891,0.9938161505865001,True,False,13.0,two-sided,1.0508129898174073e-10,6.304877938904444e-10,bonf,-1.076672475965954,SCMR
phase,CD,WanT,-1.3449502986716346,1.5787807733896253,-2.8770375780566817,2.5059885483707576,True,False,118.0,two-sided,1.8528530161514892e-08,1.1117118096908935e-07,bonf,0.726627092250295,SCMR
phase,ST,WanT,-0.009860346841772064,0.3583223296480807,-2.8770375780566817,2.5059885483707576,True,False,1.0,two-sided,5.5717740783625447e-11,3.343064447017527e-10,bonf,1.591003284415434,SCMR
phase,VO2,WanT,0.0849194231879891,0.9938161505865001,-2.8770375780566817,2.5059885483707576,True,False,3.0,two-sided,6.197035082697064e-11,3.7182210496182384e-10,bonf,1.543377689133855,SCMR
phase,CD,ST,-0.7609620539353128,0.6040625712746159,0.0688944683878771,0.26655107951627705,True,False,4.0,two-sided,6.534899414840058e-11,3.920939648904035e-10,bonf,-1.7655481438167828,STL
phase,CD,VO2,-0.7609620539353128,0.6040625712746159,-0.07094615076171563,0.4331556598039832,True,False,116.0,two-sided,1.6896940244331517e-08,1.0138164146598911e-07,bonf,-1.303999260898392,STL
phase,CD,WanT,-0.7609620539353128,0.6040625712746159,-1.676826485577166,1.377096152062678,True,False,59.0,two-sided,1.1014114111529503e-09,6.608468466917701e-09,bonf,0.8555471490280917,STL
phase,ST,WanT,0.0688944683878771,0.26655107951627705,-1.676826485577166,1.377096152062678,True,False,1.0,two-sided,5.5717740783625447e-11,3.343064447017527e-10,bonf,1.7482927560741337,STL
phase,VO2,WanT,-0.07094615076171563,0.4331556598039832,-1.676826485577166,1.377096152062678,True,False,42.0,two-sided,4.692925593266626e-10,2.815755355959976e-09,bonf,1.5626183846208288,STL
phase,CD,ST,-0.6778464588037882,0.38252650844317004,0.020334743369285237,0.09341328850576265,True,False,15.0,two-sided,1.1670020984965039e-10,7.002012590979023e-10,bonf,-2.49068674192377,STR
