muscle,phase,n_removed
MTL,Cooldown,5
MTL,SecondThreshold,6
MTL,VO2max,5
MTL,WanT,5
MTL,Warmup,3
MTR,Cooldown,6
MTR,SecondThreshold,7
MTR,VO2max,5
MTR,WanT,4
MTR,Warmup,3
SCML,Cooldown,6
SCML,SecondThreshold,3
SCML,VO2max,4
SCML,WanT,6
SCML,Warmup,4
SCMR,Cooldown,4
SCMR,SecondThreshold,3
SCMR,VO2max,4
SCMR,WanT,4
SCMR,Warmup,4
STL,Cooldown,1
STL,SecondThreshold,3
STL,VO2max,6
STL,WanT,4
STL,Warmup,5
STR,Cooldown,3
STR,SecondThreshold,5
STR,VO2max,6
STR,WanT,3
STR,Warmup,6
UTL,Cooldown,8
UTL,SecondThreshold,9
UTL,VO2max,6
UTL,WanT,6
UTL,Warmup,7
UTR,Cooldown,8
UTR,SecondThreshold,4
UTR,VO2max,3
UTR,WanT,1
UTR,Warmup,2
