Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,10.442690722592639,6.3949881330707745,13.118134208527403,11.49018537518646,True,False,485.0,two-sided,0.006742209916683176,0.06742209916683176,bonf,-0.28580072112840943
phase,Cooldown,VO2max,10.442690722592639,6.3949881330707745,16.662683836559726,12.827874808603198,True,False,201.0,two-sided,6.843428612319532e-07,6.843428612319532e-06,bonf,-0.6095748165216965
phase,Cooldown,WanT,10.442690722592639,6.3949881330707745,18.665783869516233,16.5346940243425,True,False,267.0,two-sided,8.938739399948407e-06,8.938739399948407e-05,bonf,-0.6515668872682462
phase,Cooldown,Warmup,10.442690722592639,6.3949881330707745,12.406239018475377,12.432755494209175,True,False,619.0,two-sided,0.10004034337557331,1.0,bonf,-0.1972844126754478
phase,SecondThreshold,VO2max,13.118134208527403,11.49018537518646,16.662683836559726,12.827874808603198,True,False,240.0,two-sided,3.2258110255269855e-06,3.2258110255269855e-05,bonf,-0.2891222427710436
phase,SecondThreshold,WanT,13.118134208527403,11.49018537518646,18.665783869516233,16.5346940243425,True,False,341.0,two-sided,0.00011647651395918073,0.0011647651395918072,bonf,-0.3870317890843542
phase,SecondThreshold,Warmup,13.118134208527403,11.49018537518646,12.406239018475377,12.432755494209175,True,False,749.0,two-sided,0.5406826470310391,1.0,bonf,0.05907042569773297
phase,VO2max,WanT,16.662683836559726,12.827874808603198,18.665783869516233,16.5346940243425,True,False,769.0,two-sided,0.6506374136317046,1.0,bonf,-0.1344561217383807
phase,VO2max,Warmup,16.662683836559726,12.827874808603198,12.406239018475377,12.432755494209175,True,False,368.0,two-sided,0.0002737994487110004,0.002737994487110004,bonf,0.33469956339592577
phase,WanT,Warmup,18.665783869516233,16.5346940243425,12.406239018475377,12.432755494209175,True,False,392.0,two-sided,0.0005642935571461115,0.0056429355714611145,bonf,0.4250370442534139
