Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,14.46426502544927,18.256889781630967,15.331675886535265,10.667134819425021,True,False,426.0,two-sided,0.0024426493328749133,0.024426493328749133,bonf,-0.057618058268504586
phase,Cooldown,VO2max,14.46426502544927,18.256889781630967,17.50353191838699,10.477962557703433,True,False,340.0,two-sided,0.00019006650740404258,0.0019006650740404259,bonf,-0.2027935259548821
phase,Cooldown,WanT,14.46426502544927,18.256889781630967,18.602991075974177,15.21443510457476,True,False,388.0,two-sided,0.0008368007599281826,0.008368007599281826,bonf,-0.24460141872634772
phase,Cooldown,Warmup,14.46426502544927,18.256889781630967,14.184177919640353,9.600255418360739,True,False,520.0,two-sided,0.023599286171375806,0.23599286171375805,bonf,0.01907177235793638
phase,SecondThreshold,VO2max,15.331675886535265,10.667134819425021,17.50353191838699,10.477962557703433,True,False,425.0,two-sided,0.002377480954387428,0.02377480954387428,bonf,-0.2040121013761699
phase,SecondThreshold,WanT,15.331675886535265,10.667134819425021,18.602991075974177,15.21443510457476,True,False,711.0,two-sided,0.4804445111052156,1.0,bonf,-0.24727598852017144
phase,SecondThreshold,Warmup,15.331675886535265,10.667134819425021,14.184177919640353,9.600255418360739,True,False,622.0,two-sided,0.15226740197826893,1.0,bonf,0.11230657400845866
phase,VO2max,WanT,17.50353191838699,10.477962557703433,18.602991075974177,15.21443510457476,True,False,709.0,two-sided,0.4703547484576649,1.0,bonf,-0.08359284170129037
phase,VO2max,Warmup,17.50353191838699,10.477962557703433,14.184177919640353,9.600255418360739,True,False,372.0,two-sided,0.0005188341538233403,0.005188341538233403,bonf,0.32806946453424923
phase,WanT,Warmup,18.602991075974177,15.21443510457476,14.184177919640353,9.600255418360739,True,False,559.0,two-sided,0.051719081772808186,0.5171908177280818,bonf,0.34499187395525416
