Variable,Category,Muscle,Threshold,C0_Median,C1_Median,Difference,U_statistic,p_value,Significant
RPE,Perceived,Overall,NA,1,2.5,1.5,203.5,0.025528736,TRUE
Duration_Delta,IMF,UTL,20pct,0,0,0,411,0.227154448,FALSE
Duration_Delta,IMF,UTR,20pct,0,0,0,372.5,0.519510351,FALSE
Duration_Delta,IMF,MTL,20pct,0,0,0,443,0.077383511,FALSE
Duration_Delta,IMF,MTR,20pct,0,0,0,390.5,0.409497276,FALSE
Duration_Delta,IMF,STL,20pct,0.76783,-0.127965,-0.895795,400.5,0.339280293,FALSE
Duration_Delta,IMF,STR,20pct,0.89579,0,-0.89579,344.5,0.889245318,FALSE
Duration_Delta,IMF,SCML,20pct,0.51188,0.25594,-0.25594,346.5,0.972762603,FALSE
Duration_Delta,IMF,SCMR,20pct,0.7678,0.12797,-0.63983,352.5,0.891154521,FALSE
Duration_Delta,IMF,UTL,30pct,0,0,0,426.5,0.111774668,FALSE
Duration_Delta,IMF,UTR,30pct,0,0,0,358.5,0.674805027,FALSE
Duration_Delta,IMF,MTL,30pct,0,0,0,417,0.136292012,FALSE
Duration_Delta,IMF,MTR,30pct,0,0,0,376,0.53044024,FALSE
Duration_Delta,IMF,STL,30pct,0,0,0,365,0.723490859,FALSE
Duration_Delta,IMF,STR,30pct,0,0,0,378.5,0.461800342,FALSE
Duration_Delta,IMF,SCML,30pct,0,0,0,369,0.672437173,FALSE
Duration_Delta,IMF,SCMR,30pct,0,0,0,343,0.993099466,FALSE
Duration_Delta,IMF,UTL,50pct,0,0,0,362,0.595238192,FALSE
Duration_Delta,IMF,UTR,50pct,0,0,0,423,0.007826613,TRUE
Duration_Delta,IMF,MTL,50pct,0,0,0,365.5,0.109324882,FALSE
Duration_Delta,IMF,MTR,50pct,0,0,0,364.5,0.370426932,FALSE
Duration_Delta,IMF,STL,50pct,0,0,0,379,0.368160304,FALSE
Duration_Delta,IMF,STR,50pct,0,0,0,416,0.079085817,FALSE
Duration_Delta,IMF,SCML,50pct,0,0,0,425.5,0.138397807,FALSE
Duration_Delta,IMF,SCMR,50pct,0,0,0,458,0.025783773,TRUE
Slope_Delta,IMF,UTL,20pct,-0.242762464,-0.312310445,-0.069547982,349,0.938842823,FALSE
Slope_Delta,IMF,UTR,20pct,-0.272222132,-0.158032729,0.114189403,275,0.292555485,FALSE
Slope_Delta,IMF,MTL,20pct,-0.198175584,-0.260214032,-0.062038448,372,0.639161769,FALSE
Slope_Delta,IMF,MTR,20pct,-0.342236261,-0.300797057,0.041439203,317,0.65139776,FALSE
Slope_Delta,IMF,STL,20pct,0.083470844,0.068245052,-0.015225791,379,0.556384556,FALSE
Slope_Delta,IMF,STR,20pct,0.146923395,0.027942657,-0.118980738,395,0.308802643,FALSE
Slope_Delta,IMF,SCML,20pct,-0.251822447,0.066299052,0.318121499,278,0.264094505,FALSE
Slope_Delta,IMF,SCMR,20pct,-0.068437825,-0.432350625,-0.3639128,434,0.127019245,FALSE
Slope_Delta,IMF,UTL,30pct,-0.242762464,-0.312310445,-0.069547982,349,0.938842823,FALSE
Slope_Delta,IMF,UTR,30pct,-0.272222132,-0.158032729,0.114189403,275,0.292555485,FALSE
Slope_Delta,IMF,MTL,30pct,-0.198175584,-0.260214032,-0.062038448,372,0.639161769,FALSE
Slope_Delta,IMF,MTR,30pct,-0.342236261,-0.300797057,0.041439203,317,0.65139776,FALSE
Slope_Delta,IMF,STL,30pct,0.083470844,0.068245052,-0.015225791,379,0.556384556,FALSE
Slope_Delta,IMF,STR,30pct,0.146923395,0.027942657,-0.118980738,395,0.308802643,FALSE
Slope_Delta,IMF,SCML,30pct,-0.251822447,0.066299052,0.318121499,278,0.264094505,FALSE
Slope_Delta,IMF,SCMR,30pct,-0.068437825,-0.432350625,-0.3639128,434,0.127019245,FALSE
Slope_Delta,IMF,UTL,50pct,-0.242762464,-0.312310445,-0.069547982,349,0.938842823,FALSE
Slope_Delta,IMF,UTR,50pct,-0.272222132,-0.158032729,0.114189403,275,0.292555485,FALSE
Slope_Delta,IMF,MTL,50pct,-0.198175584,-0.260214032,-0.062038448,372,0.639161769,FALSE
Slope_Delta,IMF,MTR,50pct,-0.342236261,-0.300797057,0.041439203,317,0.65139776,FALSE
Slope_Delta,IMF,STL,50pct,0.083470844,0.068245052,-0.015225791,379,0.556384556,FALSE
Slope_Delta,IMF,STR,50pct,0.146923395,0.027942657,-0.118980738,395,0.308802643,FALSE
Slope_Delta,IMF,SCML,50pct,-0.251822447,0.066299052,0.318121499,278,0.264094505,FALSE
Slope_Delta,IMF,SCMR,50pct,-0.068437825,-0.432350625,-0.3639128,434,0.127019245,FALSE
CV_Delta,EMG,UTL,NA,-0.559243996,-1.839058646,-1.27981465,367,0.701258768,FALSE
CV_Delta,EMG,UTR,NA,0.484674284,-1.662482397,-2.14715668,388,0.458288001,FALSE
CV_Delta,EMG,MTL,NA,-0.768688285,-2.52441476,-1.755726475,498,0.008866652,TRUE
CV_Delta,EMG,MTR,NA,-1.235502752,-3.363030044,-2.127527292,472,0.018407179,TRUE
CV_Delta,EMG,STL,NA,-0.775393703,-1.818655499,-1.043261796,370,0.663728373,FALSE
CV_Delta,EMG,STR,NA,-0.74301409,-1.605556554,-0.862542464,350,0.814315427,FALSE
CV_Delta,EMG,SCML,NA,0.178884784,4.188760191,4.009875407,192,0.009793012,TRUE
CV_Delta,EMG,SCMR,NA,0.950290617,2.483496257,1.53320564,300,0.536838063,FALSE
CCI_Delta,Coordination,MTL_MTR,NA,-0.05683843,-0.047045209,0.009793221,316,0.734424503,FALSE
CCI_Delta,Coordination,SCML_MTL,NA,-0.053574101,-0.289513218,-0.235939117,453,0.064326573,FALSE
CCI_Delta,Coordination,SCML_SCMR,NA,-0.014065109,-0.06582998,-0.051764871,397,0.292555485,FALSE
CCI_Delta,Coordination,SCML_STL,NA,-0.035961406,-0.048483064,-0.012521658,360,0.791569713,FALSE
CCI_Delta,Coordination,SCML_UTL,NA,-0.119771867,-0.080919153,0.038852713,394,0.39868729,FALSE
CCI_Delta,Coordination,SCMR_MTR,NA,-0.038953169,-0.113050521,-0.074097352,345,0.769500992,FALSE
CCI_Delta,Coordination,SCMR_STR,NA,-0.007601971,-0.084694942,-0.077092971,412,0.138101601,FALSE
CCI_Delta,Coordination,SCMR_UTR,NA,-0.123250277,-0.189218062,-0.065967784,391,0.343053727,FALSE
CCI_Delta,Coordination,STL_STR,NA,-0.015810779,-0.105942647,-0.090131868,410,0.201004115,FALSE
CCI_Delta,Coordination,UTL_MTL,NA,-0.043020406,-0.126881348,-0.083860942,401,0.335388462,FALSE
CCI_Delta,Coordination,UTL_UTR,NA,-0.087837448,0.007236122,0.09507357,294,0.39868729,FALSE
