Variable,Time_Window,Muscle,Phase,C0_Median,C0_Mean,C1_Median,C1_Mean,Difference,p_value,Significant
SD_IMF,40-60s,UTL,Warmup,21.85471222424144,22.38790468841436,15.289867821766371,16.449638113559555,-6.564844402475067,0.04587471780117664,TRUE
SD_IMF,40-60s,UTR,Warmup,14.201282101750227,17.05945939213613,11.011464154689405,13.330040499011277,-3.1898179470608223,0.2646362159926504,FALSE
SD_IMF,40-60s,MTL,Warmup,17.717715727012322,20.789599283462646,16.121759760256605,15.00677241647605,-1.5959559667557173,0.09369419838215545,FALSE
SD_IMF,40-60s,MTR,Warmup,18.002632044774188,19.46980306191015,16.328324738456768,14.322955655558124,-1.67430730631742,0.0983780092821157,FALSE
SD_IMF,40-60s,STL,Warmup,20.96352739030046,21.823663076315206,21.563251317676414,26.437844822689335,0.5997239273759547,0.3157544260418476,FALSE
SD_IMF,40-60s,STR,Warmup,19.017820140952498,20.00632858260273,9.455515795977922,12.377909358624,-9.562304344974576,0.1025870320756292,FALSE
SD_IMF,40-60s,SCML,Warmup,33.78282051273474,40.33375849654243,28.33064101575205,31.389352421263503,-5.452179496982687,0.22889298118246065,FALSE
SD_IMF,40-60s,SCMR,Warmup,34.72918525080833,39.42565321544359,27.526587543601284,34.79820629520565,-7.202597707207044,0.21882457015397447,FALSE
SD_IMF,40-60s,UTL,CoolDown,20.699475773161495,23.85233130482249,22.850749372492647,24.100034855989747,2.1512735993311516,0.6587873377864597,FALSE
SD_IMF,40-60s,UTR,CoolDown,14.020629083963655,19.221149740769988,15.983192640480075,20.3186511066723,1.96256355651642,0.29648661327638404,FALSE
SD_IMF,40-60s,MTL,CoolDown,23.580394714638555,24.06708101115421,26.125739985335418,27.975621867517777,2.5453452706968633,0.49149680641137955,FALSE
SD_IMF,40-60s,MTR,CoolDown,23.69148944399946,28.507100187544733,26.045266971152053,24.024020278759153,2.3537775271525945,0.610384513874678,FALSE
SD_IMF,40-60s,STL,CoolDown,23.397012306271975,26.48766679411769,24.52194932529366,32.00944580727431,1.1249370190216865,0.37632179567564866,FALSE
SD_IMF,40-60s,STR,CoolDown,12.886039386008418,13.034959532298158,12.367059942751212,13.493755210052138,-0.5189794432572068,0.8892923871562102,FALSE
SD_IMF,40-60s,SCML,CoolDown,28.103415774881466,31.024143576435986,20.037533610962146,29.911010917999526,-8.06588216391932,0.41316205952337565,FALSE
SD_IMF,40-60s,SCMR,CoolDown,37.54675940876446,37.00968587013323,31.680876701616025,42.06445610004671,-5.865882707148433,0.3710550410636871,FALSE
