subject,Cluster,phase,muscle,n_points,mean_IMF,SD_IMF,CV_IMF
541,1,CoolDown,MTL,11,55.38786650471012,20.64042650202414,37.265249240587565
541,1,CoolDown,MTR,11,56.75209966985076,27.69998838183892,48.80874636001245
541,1,CoolDown,SCML,11,59.66246375548413,6.073451376635988,10.179685843224535
541,1,CoolDown,SCMR,11,70.03063581055302,35.83745864499453,51.173972976544256
541,1,CoolDown,STL,11,57.4796906912591,27.834339012561284,48.42464995517805
541,1,CoolDown,STR,11,26.64802115908056,9.172139076786769,34.419587938751235
541,1,CoolDown,UTL,11,41.10889270957138,15.501648582692733,37.708747574909715
541,1,CoolDown,UTR,11,51.38611588696423,19.904801337192815,38.73575769178211
541,1,Warmup,MTL,13,47.020571500031274,16.529943492136116,35.154705620975115
541,1,Warmup,MTR,13,45.866220317542776,15.220940576487248,33.185513153490845
541,1,Warmup,SCML,13,43.48056120706656,15.485875952323143,35.61563034703044
541,1,Warmup,SCMR,13,48.251879428018995,22.645255194838995,46.93134332439972
541,1,Warmup,STL,13,52.253630193979106,22.784785745716896,43.60421593893827
541,1,Warmup,STR,13,45.712306826544314,15.730455753132123,34.411861586468284
541,1,Warmup,UTL,13,41.01794535109111,13.069663272525348,31.86328120693565
541,1,Warmup,UTR,13,40.40229138709725,14.009333844958885,34.674602266328044
560,0,CoolDown,MTL,12,55.7743992348333,24.980454906544093,44.788389026596306
560,0,CoolDown,MTR,12,64.27811929754331,19.92730174382355,31.001687606291185
560,0,CoolDown,SCML,12,61.94376477052487,16.060676532175716,25.927834047016106
560,0,CoolDown,SCMR,12,56.27461806205153,23.350094836011206,41.493120060386886
560,0,CoolDown,STL,12,64.19474949300694,30.230117283919657,47.09126139235543
560,0,CoolDown,STR,12,62.52735340227947,28.091721872035293,44.92709245392624
560,0,CoolDown,UTL,12,63.361051447643206,25.77712191135103,40.682913749705214
560,0,CoolDown,UTR,12,89.53917007206422,43.79025542414703,48.906255652027056
560,0,Warmup,MTL,8,44.26936613752544,20.382218290489142,46.041360129644865
560,0,Warmup,MTR,8,49.771773228065314,24.655402700616442,49.53691842088871
560,0,Warmup,SCML,8,71.65634688362167,31.785129393011726,44.357730718026296
560,0,Warmup,SCMR,8,92.66553759295579,62.61433088306349,67.57024510892523
560,0,Warmup,STL,8,53.39835971955751,34.34092933136594,64.31083185274012
560,0,Warmup,STR,8,91.79015464673353,53.06969151962488,57.81632215772004
560,0,Warmup,UTL,8,57.77527445066879,32.71970853261856,56.63271848333004
560,0,Warmup,UTR,8,82.41105165149509,51.38098601997622,62.3472034275928
