"Subject","SCML_Warmup_Removed","SCML_WanT_Removed","SCMR_Warmup_Removed","SCMR_WanT_Removed","Total_Removed"
541,0,0,0,0,0
560,0,0,0,0,0
570,0,0,0,0,0
571,0,0,0,0,0
572,0,0,0,0,0
573,0,1,0,21,22
574,0,0,8,0,8
575,0,0,0,0,0
577,0,0,0,0,0
578,0,0,0,0,0
579,0,0,2,2,4
580,0,0,0,0,0
581,0,0,0,0,0
582,0,0,0,0,0
583,0,0,0,0,0
584,0,0,0,0,0
585,0,0,0,14,14
586,0,0,0,0,0
587,0,0,0,0,0
588,0,0,0,0,0
590,0,0,0,0,0
591,0,0,0,0,0
594,0,18,0,0,18
595,0,0,0,0,0
596,0,0,0,0,0
597,0,0,0,0,0
598,0,0,0,3,3
600,0,0,0,0,0
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,0,0,0,0,0
607,0,0,0,0,0
608,0,0,0,0,0
609,0,0,0,0,0
610,0,0,0,0,0
611,0,0,0,0,0
612,0,0,0,0,0
613,0,0,0,0,0
614,0,0,0,0,0
615,0,0,0,0,0
616,0,9,0,1,10
617,0,0,0,0,0
618,0,0,0,0,0
619,0,0,0,0,0
620,0,0,0,0,0
621,0,0,0,0,0
622,0,0,0,0,0
623,0,20,0,0,20
624,0,0,0,0,0
625,0,0,0,0,0
626,0,0,0,0,0
627,0,3,0,0,3
628,0,0,0,0,0
629,0,0,0,0,0
630,0,0,0,0,0
631,0,0,0,0,0
632,0,0,0,0,0
