Muscle,Phase,Comparison,Group1_Mean,Group2_Mean,t_statistic,df,p_value,p_adjusted,Significant
UTL,Warmup,High-VO2max vs Low-VO2max,6.7824321819738325,10.591008579431241,-1.737620790465392,48.28745883216554,0.08865239479701713,0.44326197398508566,No
UTL,SecondThreshold,High-VO2max vs Low-VO2max,13.469403942379333,14.028550282640248,-0.1445701145367664,54.72020197428459,0.8855814550341518,1,No
UTL,VO2max,High-VO2max vs Low-VO2max,27.842148101168295,22.58819105849447,0.8164798359801543,44.88332716986702,0.41853828322550757,1,No
UTL,WanT,High-VO2max vs Low-VO2max,27.44379694526912,30.308784955248182,-0.3702573494917655,55.66027752430973,0.7125960024383456,1,No
UTL,Cooldown,High-VO2max vs Low-VO2max,8.587958790014422,8.849323840686107,-0.09990525703407035,54.46985613750418,0.920786343999666,1,No
UTR,Warmup,High-VO2max vs Low-VO2max,6.580223637268883,9.91251950847725,-2.015679069985872,55.989660912726386,0.04864258692468243,0.24321293462341215,No
UTR,SecondThreshold,High-VO2max vs Low-VO2max,9.962337043754893,14.921391029742988,-1.328995748084533,44.35084962986346,0.19064627632076753,0.9532313816038376,No
UTR,VO2max,High-VO2max vs Low-VO2max,22.535261692107074,20.879486753959803,0.3156066541139588,55.51801113166691,0.7534844614336556,1,No
UTR,WanT,High-VO2max vs Low-VO2max,30.89470393087553,26.78507049198795,0.5908825079672828,56.92567523680012,0.556938033007946,1,No
UTR,Cooldown,High-VO2max vs Low-VO2max,9.503318560933808,8.674072932908897,0.25880946195320154,57.16028971438677,0.7967119909321716,1,No
MTL,Warmup,High-VO2max vs Low-VO2max,5.599769581956859,7.732933674314872,-1.5530955840385021,36.16322712771789,0.12910913956516912,0.6455456978258456,No
MTL,SecondThreshold,High-VO2max vs Low-VO2max,6.061508698682208,7.201444188958073,-0.9324757017810533,44.48282888788466,0.3561246087021387,1,No
MTL,VO2max,High-VO2max vs Low-VO2max,11.601815282071614,9.973513803345325,0.7000322728055731,46.21107978137131,0.487416564897277,1,No
MTL,WanT,High-VO2max vs Low-VO2max,17.617889419272963,20.133143928502534,-0.6344725209890502,55.48168858493601,0.5283801368154322,1,No
MTL,Cooldown,High-VO2max vs Low-VO2max,5.057741616798558,5.525601789004562,-0.31833841140225205,57.90077687338692,0.7513736735434018,1,No
MTR,Warmup,High-VO2max vs Low-VO2max,5.4263135630841655,8.405536812243739,-1.7671008494695357,32.14635107306877,0.08670498494791791,0.43352492473958953,No
MTR,SecondThreshold,High-VO2max vs Low-VO2max,5.541248827204948,7.2563652433041534,-1.137589329740328,40.60889492160878,0.2619597075226011,1,No
MTR,VO2max,High-VO2max vs Low-VO2max,11.703420265406386,9.148633791563858,0.6974986548198211,39.6267612085751,0.4895632170748434,1,No
MTR,WanT,High-VO2max vs Low-VO2max,19.907400261905604,15.363335106556006,0.8247623393914292,48.36140629714533,0.41355614986460965,1,No
MTR,Cooldown,High-VO2max vs Low-VO2max,5.0581060243332345,4.350012509685522,0.5499278647067971,57.67266560093811,0.5844923822064991,1,No
STL,Warmup,High-VO2max vs Low-VO2max,11.574002772667425,13.275372301621864,-0.5187187007695255,34.4221129976278,0.6072758364937961,1,No
STL,SecondThreshold,High-VO2max vs Low-VO2max,12.847467809543474,13.977271245021603,-0.36745866530565185,39.153864703604704,0.7152557626142937,1,No
STL,VO2max,High-VO2max vs Low-VO2max,15.691996741624617,17.408862718895737,-0.509672469428637,39.46951466146805,0.6131191004602622,1,No
STL,WanT,High-VO2max vs Low-VO2max,18.999783074195683,19.79137919936509,-0.1695646017004469,55.50844196146056,0.8659690202490089,1,No
STL,Cooldown,High-VO2max vs Low-VO2max,11.564741831777134,9.138301651705456,1.5028950990893442,57.05150720941412,0.13838162532968576,0.6919081266484288,No
STR,Warmup,High-VO2max vs Low-VO2max,14.680426411669059,12.867482567198048,0.7308575985110037,56.6499657209799,0.4678782803411403,1,No
STR,SecondThreshold,High-VO2max vs Low-VO2max,15.961934333764859,14.0853671812535,0.672988407470869,55.99577220338559,0.503722744685181,1,No
STR,VO2max,High-VO2max vs Low-VO2max,18.910221226501925,15.674359454940186,1.170549306355824,54.99930246112996,0.24682698785213758,1,No
STR,WanT,High-VO2max vs Low-VO2max,16.67526681959657,21.76364591497362,-0.9251483309111203,34.76718890128703,0.3612660751457577,1,No
STR,Cooldown,High-VO2max vs Low-VO2max,12.35641997250514,20.76272481053364,-0.8856966846002768,27.76020928849254,0.3833892075072107,1,No
SCML,Warmup,High-VO2max vs Low-VO2max,7.215058235324315,8.554415001787563,-0.8100927693986167,57.93558267810177,0.4212018813638948,1,No
SCML,SecondThreshold,High-VO2max vs Low-VO2max,11.563632956237473,12.230244582578484,-0.257285522573529,54.515256875694014,0.7979270267273518,1,No
SCML,VO2max,High-VO2max vs Low-VO2max,22.802915104373117,27.643592462648638,-0.5419296383833896,36.804222589758076,0.5911331540737195,1,No
