Muscle,Effect,DFn,DFd,F_value,p_value,eta_squared_partial,Significant
SCML,VO2max_Group,1,55,0.859,0.358,0.007,No
SCML,phase,1.5,82.46,7.556,0.003,0.072,Yes
SCML,VO2max_Group:phase,1.5,82.46,0.616,0.498,0.006,No
SCMR,VO2max_Group,1,54,0.002,0.961,1.77e-5,No
SCMR,phase,1.67,90.02,12.538,5.07e-5,0.123,Yes
SCMR,VO2max_Group:phase,1.67,90.02,0.567,0.538,0.006,No
MTL,VO2max_Group,1,55,0.469,0.496,0.004,No
MTL,phase,1.57,86.36,34.957,2.72e-10,0.256,Yes
MTL,VO2max_Group:phase,1.57,86.36,0.703,0.465,0.007,No
MTR,VO2max_Group,1,54,0.093,0.761,9.02e-4,No
MTR,phase,1.28,69.23,17.084,2.38e-5,0.131,Yes
MTR,VO2max_Group:phase,1.28,69.23,1.607,0.212,0.014,No
STL,VO2max_Group,1,55,0.095,0.759,0.001,No
STL,phase,2.55,140.43,8.942,5.45e-5,0.055,Yes
STL,VO2max_Group:phase,2.55,140.43,0.768,0.495,0.005,No
STR,VO2max_Group,1,54,0.035,0.853,3.12e-4,No
STR,phase,1.26,67.81,0.919,0.363,0.009,No
STR,VO2max_Group:phase,1.26,67.81,1.425,0.243,0.013,No
UTL,VO2max_Group,1,55,0.149,0.701,0.001,No
UTL,phase,2.15,118.12,25.283,2.57e-10,0.175,Yes
UTL,VO2max_Group:phase,2.15,118.12,0.594,0.565,0.005,No
UTR,VO2max_Group,1,55,0.049,0.826,5.36e-4,No
UTR,phase,2.14,117.53,30.652,6.34e-12,0.182,Yes
UTR,VO2max_Group:phase,2.14,117.53,1.381,0.255,0.01,No
