phase,muscle,high_median,low_median,high_n,low_n,U_statistic,p_value,significant
Warmup,UTL,5.596370911200377,7.775801289120665,29,31,319,0.054474529387578886,FALSE
Warmup,UTR,4.908645700594028,8.304013128135908,29,31,294,0.02185606029525044,TRUE
Warmup,MTL,5.103323293705259,6.897548230104337,29,31,348,0.13516066162620682,FALSE
Warmup,MTR,4.973916921581505,6.045420841887783,29,30,357,0.2399739255288419,FALSE
Warmup,STL,9.389741568813124,9.197298135870254,29,31,504,0.4244047230336749,FALSE
Warmup,STR,12.20179081095873,11.22075270610819,29,30,471,0.5904047338048007,FALSE
Warmup,SCML,5.164802586380142,8.448539983098513,29,31,327,0.07112120262683089,FALSE
Warmup,SCMR,5.390727870014022,5.59808264323584,28,31,381,0.42549780117110997,FALSE
SecondThreshold,UTL,9.183279532416169,7.292684570071783,28,31,421,0.84951073414429,FALSE
SecondThreshold,UTR,6.995514267365218,10.41849325560711,28,31,352,0.21604156723828977,FALSE
SecondThreshold,MTL,5.347059647408166,5.290715268701582,28,31,404,0.654302706739683,FALSE
SecondThreshold,MTR,5.0919375448717865,4.752955646816368,28,31,421,0.84951073414429,FALSE
SecondThreshold,STL,11.485953846578333,9.593646785807428,28,31,528,0.1558186736912131,FALSE
SecondThreshold,STR,12.955290003685139,11.931731732628123,28,30,471,0.43198007828749235,FALSE
SecondThreshold,SCML,9.257724268927479,7.298971476567834,28,31,444,0.8853390066161997,FALSE
SecondThreshold,SCMR,8.539004084848232,7.3085392483067215,27,31,407,0.8638522229355377,FALSE
VO2max,UTL,18.36941273708301,19.345831280377553,27,31,400,0.7790237944499587,FALSE
VO2max,UTR,13.442987865499237,18.423523510560972,27,31,403,0.8151199189412728,FALSE
VO2max,MTL,7.924742043532488,8.170947768912912,27,31,408,0.8761243591282755,FALSE
VO2max,MTR,6.19448674493665,6.694656827241504,27,31,444,0.6967507708997722,FALSE
VO2max,STL,15.660923334176235,10.866878194873463,27,31,512,0.14713595837064264,FALSE
VO2max,STR,15.140244417155122,12.826442633533517,27,30,504,0.11543247429624581,FALSE
VO2max,SCML,17.42748229472976,14.018307254941801,27,31,511,0.15153404250808403,FALSE
VO2max,SCMR,14.19626986629623,11.300418183502716,26,31,468,0.30141634268991185,FALSE
WanT,UTL,16.902604122149352,20.671422224559368,28,31,384,0.4524232636783828,FALSE
WanT,UTR,25.978213767621437,18.52186881525188,28,31,483,0.46160789813717773,FALSE
WanT,MTL,14.825729689713462,15.763305906317328,28,31,384,0.4524232636783828,FALSE
WanT,MTR,13.226720106865052,12.047636643244779,28,31,479,0.4993682345583663,FALSE
WanT,STL,13.870575712708721,14.43610329590037,28,31,468,0.6110953630986815,FALSE
WanT,STR,12.811498785133928,14.500748991963768,28,30,413,0.9194364818475742,FALSE
WanT,SCML,30.003904807116072,27.633568241866907,28,31,459,0.709970466817307,FALSE
WanT,SCMR,29.095761532831116,22.80434992774371,27,31,492,0.25513964536062067,FALSE
Cooldown,UTL,4.111159740772595,5.862089751077347,29,31,390,0.38279057824440177,FALSE
Cooldown,UTR,3.8207557288313962,4.412044663780347,29,31,467,0.8014469044092744,FALSE
Cooldown,MTL,3.4694844194739276,3.787681734724894,29,31,437,0.8591064365689851,FALSE
Cooldown,MTR,3.9143354212089014,2.435454440036014,29,31,551,0.13516066162620682,FALSE
Cooldown,STL,9.58122985048049,6.861931824841719,29,31,597,0.02966618469181802,TRUE
Cooldown,STR,10.255134797355312,9.0094023277629809,29,30,501,0.3206571127837455,FALSE
Cooldown,SCML,7.0061319801290365,8.013589049632758,29,31,460,0.8824008071352184,FALSE
Cooldown,SCMR,6.4545327565046655,6.464095632826754,28,31,423,0.8733664270842774,FALSE
