phase,muscle,spearman_r,p_value,n,significant,,
Warmup,UTL,-0.331582607,0.009651624,60,TRUE,0.109947025,10.99470253
Warmup,UTR,-0.361817427,0.004502917,60,TRUE,0.130911851,13.09118508
Warmup,MTL,-0.150673893,0.250498959,60,FALSE,,
Warmup,MTR,-0.199763267,0.129288044,59,FALSE,,
Warmup,STL,0.11107406,0.39816898,60,FALSE,,
Warmup,STR,0.104686336,0.430066518,59,FALSE,,
Warmup,SCML,-0.280589137,0.029890184,60,TRUE,0.078730264,7.873026384
Warmup,SCMR,-0.10457249,0.430570976,59,FALSE,,
SecondThreshold,UTL,-0.099400849,0.453836626,59,FALSE,,
SecondThreshold,UTR,-0.23103902,0.078309639,59,FALSE,,
SecondThreshold,MTL,-0.063013299,0.635407231,59,FALSE,,
SecondThreshold,MTR,-0.060119831,0.651039756,59,FALSE,,
SecondThreshold,STL,0.170510012,0.196645291,59,FALSE,,
SecondThreshold,STR,0.068542247,0.609182464,58,FALSE,,
SecondThreshold,SCML,-0.066754348,0.61542841,59,FALSE,,
SecondThreshold,SCMR,-0.085865035,0.521601512,58,FALSE,,
VO2max,UTL,-0.048147921,0.719662666,58,FALSE,,
VO2max,UTR,-0.062699976,0.640088876,58,FALSE,,
VO2max,MTL,0.04322545,0.747316576,58,FALSE,,
VO2max,MTR,0.045563623,0.734139042,58,FALSE,,
VO2max,STL,0.181362296,0.17304765,58,FALSE,,
VO2max,STR,0.238586826,0.073890124,57,FALSE,,
VO2max,SCML,0.11973911,0.370636492,58,FALSE,,
VO2max,SCMR,0.154190236,0.252132704,57,FALSE,,
WanT,UTL,-0.099897707,0.45157189,59,FALSE,,
WanT,UTR,0.024901359,0.851497952,59,FALSE,,
WanT,MTL,-0.030600614,0.818035428,59,FALSE,,
WanT,MTR,0.167704225,0.204222582,59,FALSE,,
WanT,STL,0.128277073,0.332924128,59,FALSE,,
WanT,STR,-0.034178831,0.79894999,58,FALSE,,
WanT,SCML,0.051380974,0.699144239,59,FALSE,,
WanT,SCMR,0.154501686,0.246862086,58,FALSE,,
Cooldown,UTL,-0.230846188,0.075969631,60,FALSE,,
Cooldown,UTR,-0.117576769,0.370949596,60,FALSE,,
Cooldown,MTL,-0.051604836,0.695367296,60,FALSE,,
Cooldown,MTR,0.134500488,0.305559074,60,FALSE,,
Cooldown,STL,0.33405586,0.009092505,60,TRUE,0.111593317,11.15933175
Cooldown,STR,0.136834569,0.30140332,59,FALSE,,
Cooldown,SCML,-0.052077255,0.692716448,60,FALSE,,
Cooldown,SCMR,-2.63E-04,0.998422417,59,FALSE,,
