phase,muscle,high_median,low_median,high_n,low_n,U_statistic,p_value,significant
Warmup,UTL,6.769836199255378,5.730119928672809,30,30,537,0.2009488969759283,FALSE
Warmup,UTR,7.021742006096271,5.485667085693194,30,30,540,0.18576685629821565,FALSE
Warmup,MTL,5.911388268706517,5.295390962815167,30,30,478,0.6843225867624496,FALSE
Warmup,MTR,6.096998387864632,5.023390123966031,30,29,481,0.49027643401927085,FALSE
Warmup,STL,10.002507823956126,8.947620218397356,30,30,494,0.5201446121616037,FALSE
Warmup,STR,12.906146465484621,10.251189822725433,29,30,494,0.3750925159360058,FALSE
Warmup,SCML,6.426121028636162,6.247647624957958,30,30,473,0.7393988193114496,FALSE
Warmup,SCMR,5.894304586755678,5.364891731717624,29,30,461,0.6990301434620463,FALSE
SecondThreshold,UTL,9.949272894608832,6.824066348726408,30,29,482,0.48079083216826524,FALSE
SecondThreshold,UTR,8.69205107738414,7.026497425429628,30,29,470,0.6009132593613584,FALSE
SecondThreshold,MTL,5.359131802815112,5.281338408641463,30,29,403,0.6329336726637036,FALSE
SecondThreshold,MTR,4.759539566685847,4.894145027674785,30,29,398,0.5799816168631695,FALSE
SecondThreshold,STL,11.173633391697832,9.593646785807428,30,29,451,0.8142006662628348,FALSE
SecondThreshold,STR,12.950501714374575,12.219861870807314,29,29,454,0.6078164581989167,FALSE
SecondThreshold,SCML,10.210390308393933,7.125103363990599,30,29,499,0.3356556731001311,FALSE
SecondThreshold,SCMR,10.194902027492262,6.117457486290524,29,29,489,0.29028883492461355,FALSE
VO2max,UTL,20.09752287204026,17.32160113700823,30,28,439,0.7734461022468662,FALSE
VO2max,UTR,15.078670761126823,18.136577894080958,30,28,374,0.4789421058135052,FALSE
VO2max,MTL,8.102705638094712,8.069274361609411,30,28,436,0.8094089909035502,FALSE
VO2max,MTR,6.373993578919952,6.994373078151776,30,28,373,0.4693324507445873,FALSE
VO2max,STL,14.836941129786947,11.337654147756988,30,28,433,0.8457790022701182,FALSE
VO2max,STR,14.72020550116515,13.703637507027608,29,28,440,0.5928290216287403,FALSE
VO2max,SCML,18.52801469565981,15.420371214947764,30,28,490,0.2794932996146892,FALSE
VO2max,SCMR,15.42767390826378,12.067848475210017,29,28,468,0.3262533059642671,FALSE
WanT,UTL,24.19670594002654,16.15274867823798,30,29,483,0.47140608618045765,FALSE
WanT,UTR,33.66351949102767,17.92307547528083,30,29,522,0.18968564731645565,FALSE
WanT,MTL,19.70281089170261,11.096517059895339,30,29,541,0.1096902627093473,FALSE
WanT,MTR,14.849376789108877,10.049171185293702,30,29,542,0.10636509778604027,FALSE
WanT,STL,14.357143889027846,13.162026055429433,30,29,459,0.7216113561855784,FALSE
WanT,STR,14.296784643675556,11.941513179920413,29,29,445,0.7089764281631086,FALSE
WanT,SCML,33.42899384212845,19.074310317180593,30,29,565,0.04959113048604436,TRUE
WanT,SCMR,28.55248528442706,16.239054028697733,29,29,520,0.12366315003122844,FALSE
Cooldown,UTL,4.7138845967352125,4.8854528545163545,30,30,436,0.8418014501581276,FALSE
Cooldown,UTR,4.5779379547561305,3.8694314100122567,30,30,485,0.6100075520376812,FALSE
Cooldown,MTL,3.6178164734715015,3.6233921576617716,30,30,459,0.8999950372363642,FALSE
Cooldown,MTR,3.67722471771943,3.545908369875376,30,30,400,0.46427291062161513,FALSE
Cooldown,STL,9.368000399127544,7.33643407452497,30,30,502,0.4464194359599726,FALSE
Cooldown,STR,12.65840658267864,8.681269218772924,29,30,497,0.35109854270850005,FALSE
Cooldown,SCML,7.054322916037118,6.823882438597758,30,30,520,0.3041768180197037,FALSE
Cooldown,SCMR,7.199976590638005,5.414007581935088,29,30,560,0.059071054961130305,FALSE
