Fitness_Measure,Phase,Muscle_Pair,spearman_r,p_value,n,significant,^ variance explained ,% of varience explained 
VO2max,Warmup,MTL_MTR,0.134968071,0.308107702,59,FALSE,,
VO2max,Warmup,SCML_MTL,-0.09595665,0.465801724,60,FALSE,,
VO2max,Warmup,SCML_SCMR,0.066373428,0.617450369,59,FALSE,,
VO2max,Warmup,SCML_STL,-0.447908855,3.32E-04,60,TRUE,0.200622343,20.06223426
VO2max,Warmup,SCML_UTL,0.021342226,0.871418496,60,FALSE,,
VO2max,Warmup,SCMR_MTR,0.064390094,0.631082184,58,FALSE,,
VO2max,Warmup,SCMR_STR,-0.290715561,0.026836822,58,TRUE,,
VO2max,Warmup,SCMR_UTR,0.282269734,0.030309531,59,TRUE,,
VO2max,Warmup,STL_STR,-0.172226851,0.19210884,59,FALSE,,
VO2max,Warmup,UTL_MTL,-0.026733361,0.839325854,60,FALSE,,
VO2max,Warmup,UTL_UTR,0.248270115,0.055786182,60,FALSE,,
VO2max,Warmup,UTR_MTR,0.076894975,0.562682148,59,FALSE,,
VO2max,SecondThreshold,MTL_MTR,0.145053341,0.273014681,59,FALSE,,
VO2max,SecondThreshold,SCML_MTL,-0.116820109,0.378244455,59,FALSE,,
VO2max,SecondThreshold,SCML_SCMR,-0.12853605,0.336256373,58,FALSE,,
VO2max,SecondThreshold,SCML_STL,-0.209001902,0.112145026,59,FALSE,,
VO2max,SecondThreshold,SCML_UTL,-0.28054947,0.031376711,59,TRUE,0.078708005,7.870800489
VO2max,SecondThreshold,SCMR_MTR,-0.293374766,0.025412776,58,TRUE,0.086068754,8.60687535
VO2max,SecondThreshold,SCMR_STR,-0.03850517,0.776124852,57,FALSE,,
VO2max,SecondThreshold,SCMR_UTR,0.01615161,0.904216128,58,FALSE,,
VO2max,SecondThreshold,STL_STR,0.05519066,0.680717967,58,FALSE,,
VO2max,SecondThreshold,UTL_MTL,-0.118982904,0.369417643,59,FALSE,,
VO2max,SecondThreshold,UTL_UTR,-0.062253398,0.639497812,59,FALSE,,
VO2max,SecondThreshold,UTR_MTR,-0.05658337,0.670350403,59,FALSE,,
VO2max,VO2max,MTL_MTR,-0.075031264,0.568835151,60,FALSE,,
VO2max,VO2max,SCML_MTL,-0.029345561,0.823865565,60,FALSE,,
VO2max,VO2max,SCML_SCMR,-0.080460611,0.544654407,59,FALSE,,
VO2max,VO2max,SCML_STL,-0.115214674,0.380704105,60,FALSE,,
VO2max,VO2max,SCML_UTL,-0.14347645,0.274106169,60,FALSE,,
VO2max,VO2max,SCMR_MTR,-0.346217361,0.007229787,59,TRUE,0.119866461,11.98664608
VO2max,VO2max,SCMR_STR,-0.091398511,0.495018897,58,FALSE,,
VO2max,VO2max,SCMR_UTR,-0.128450557,0.332265252,59,FALSE,,
VO2max,VO2max,STL_STR,-0.043780048,0.741971461,59,FALSE,,
VO2max,VO2max,UTL_MTL,-0.160038907,0.221908159,60,FALSE,,
VO2max,VO2max,UTL_UTR,-0.048325692,0.713865813,60,FALSE,,
VO2max,VO2max,UTR_MTR,-0.197860221,0.129670129,60,FALSE,,
VO2max,WanT,MTL_MTR,0.250537055,0.055635116,59,FALSE,,
VO2max,WanT,SCML_MTL,0.079906475,0.547437669,59,FALSE,,
VO2max,WanT,SCML_SCMR,-0.026396751,0.844070387,58,FALSE,,
VO2max,WanT,SCML_STL,-0.251702472,0.054469603,59,FALSE,,
VO2max,WanT,SCML_UTL,-0.010492627,0.937133554,59,FALSE,,
VO2max,WanT,SCMR_MTR,0.062206772,0.642727007,58,FALSE,,
VO2max,WanT,SCMR_STR,-0.035393641,0.793801073,57,FALSE,,
VO2max,WanT,SCMR_UTR,0.075467635,0.573409797,58,FALSE,,
VO2max,WanT,STL_STR,0.01621289,0.903854429,58,FALSE,,
VO2max,WanT,UTL_MTL,-0.218036215,0.097123801,59,FALSE,,
VO2max,WanT,UTL_UTR,0.120650602,0.362697301,59,FALSE,,
VO2max,WanT,UTR_MTR,0.113897415,0.390371425,59,FALSE,,
