Muscle_Pair,Effect,DFn,DFd,F_value,p_value,eta_squared_partial,Significant
MTL_MTR,VO2max_Group,1,55,5.224,0.026,0.041,Yes
MTL_MTR,phase,3.38,185.8,10.905,3.81e-7,0.098,Yes
MTL_MTR,VO2max_Group:phase,3.38,185.8,2.534,0.051,0.025,No
SCML_MTL,VO2max_Group,1,56,0.022,0.884,1.78e-4,No
SCML_MTL,phase,2.86,160.05,12.884,2.35e-7,0.11,Yes
SCML_MTL,VO2max_Group:phase,2.86,160.05,2.224,0.091,0.021,No
SCML_SCMR,VO2max_Group,1,55,0.744,0.392,0.007,No
SCML_SCMR,phase,2.68,147.32,3.089,0.034,0.027,Yes
SCML_SCMR,VO2max_Group:phase,2.68,147.32,1.488,0.224,0.013,No
SCML_STL,VO2max_Group,1,56,1.868,0.177,0.014,No
SCML_STL,phase,2.98,166.89,5.387,0.001,0.053,Yes
SCML_STL,VO2max_Group:phase,2.98,166.89,1.626,0.186,0.017,No
SCML_UTL,VO2max_Group,1,56,0.199,0.657,0.001,No
SCML_UTL,phase,3.46,193.81,9.71,1.5e-6,0.104,Yes
SCML_UTL,VO2max_Group:phase,3.46,193.81,0.774,0.527,0.009,No
SCMR_MTR,VO2max_Group,1,54,0.51,0.478,0.005,No
SCMR_MTR,phase,3.14,169.81,7.115,1.2e-4,0.06,Yes
SCMR_MTR,VO2max_Group:phase,3.14,169.81,3.94,0.008,0.034,Yes
SCMR_STR,VO2max_Group,1,54,0.15,0.7,0.001,No
SCMR_STR,phase,4,216,6.557,5.35e-5,0.058,Yes
SCMR_STR,VO2max_Group:phase,4,216,0.902,0.464,0.008,No
SCMR_UTR,VO2max_Group,1,55,1.071,0.305,0.007,No
SCMR_UTR,phase,3.07,168.78,9.297,8.42e-6,0.1,Yes
SCMR_UTR,VO2max_Group:phase,3.07,168.78,0.464,0.712,0.006,No
STL_STR,VO2max_Group,1,55,0.063,0.803,4.82e-4,No
STL_STR,phase,3.16,174.04,3.786,0.01,0.038,Yes
STL_STR,VO2max_Group:phase,3.16,174.04,0.783,0.511,0.008,No
UTL_MTL,VO2max_Group,1,56,0.505,0.48,0.005,No
UTL_MTL,phase,3.51,196.36,9.559,1.62e-6,0.077,Yes
UTL_MTL,VO2max_Group:phase,3.51,196.36,0.57,0.662,0.005,No
UTL_UTR,VO2max_Group,1,56,0.63,0.431,0.005,No
UTL_UTR,phase,2.93,163.95,9.145,1.5e-5,0.084,Yes
UTL_UTR,VO2max_Group:phase,2.93,163.95,0.841,0.471,0.008,No
UTR_MTR,VO2max_Group,1,55,0.485,0.489,0.004,No
UTR_MTR,phase,3.38,185.81,12.568,4.06e-8,0.106,Yes
UTR_MTR,VO2max_Group:phase,3.38,185.81,1.485,0.216,0.014,No
