Muscle_Pair,Effect,DFn,DFd,F_value,p_value,eta_squared_partial,Significant
MTL_MTR,WanT_Group,1,55,2.276,0.137,0.019,No
MTL_MTR,phase,3.26,179.44,10.554,9.06e-7,0.094,Yes
MTL_MTR,WanT_Group:phase,3.26,179.44,1.409,0.239,0.014,No
SCML_MTL,WanT_Group,1,56,5.869,0.019,0.043,Yes
SCML_MTL,phase,2.71,151.8,12.516,6.56e-7,0.112,Yes
SCML_MTL,WanT_Group:phase,2.71,151.8,1.321,0.27,0.013,No
SCML_SCMR,WanT_Group,1,55,2.399,0.127,0.021,No
SCML_SCMR,phase,2.71,149.2,3.056,0.035,0.027,Yes
SCML_SCMR,WanT_Group:phase,2.71,149.2,1.655,0.184,0.015,No
SCML_STL,WanT_Group,1,56,0.055,0.816,4.21e-4,No
SCML_STL,phase,3.11,174.24,5.414,0.001,0.052,Yes
SCML_STL,WanT_Group:phase,3.11,174.24,2.003,0.113,0.02,No
SCML_UTL,WanT_Group,1,56,1.174,0.283,0.007,No
SCML_UTL,phase,3.44,192.85,9.574,1.91e-6,0.103,Yes
SCML_UTL,WanT_Group:phase,3.44,192.85,1.04,0.382,0.012,No
SCMR_MTR,WanT_Group,1,54,8.401,0.005,0.069,Yes
SCMR_MTR,phase,2.89,155.96,7.102,2.05e-4,0.064,Yes
SCMR_MTR,WanT_Group:phase,2.89,155.96,3.681,0.015,0.034,Yes
SCMR_STR,WanT_Group,1,54,0.547,0.463,0.005,No
SCMR_STR,phase,3.46,186.62,6.519,1.51e-4,0.058,Yes
SCMR_STR,WanT_Group:phase,3.46,186.62,0.585,0.649,0.005,No
SCMR_UTR,WanT_Group,1,55,1.416,0.239,0.009,No
SCMR_UTR,phase,3.07,168.68,9.213,9.43e-6,0.099,Yes
SCMR_UTR,WanT_Group:phase,3.07,168.68,0.244,0.87,0.003,No
STL_STR,WanT_Group,1,55,0.274,0.603,0.002,No
STL_STR,phase,3.23,177.57,3.787,0.01,0.038,Yes
STL_STR,WanT_Group:phase,3.23,177.57,2.944,0.031,0.029,Yes
UTL_MTL,WanT_Group,1,56,3.986,0.051,0.035,No
UTL_MTL,phase,3.38,189.5,9.898,1.46e-6,0.08,Yes
UTL_MTL,WanT_Group:phase,3.38,189.5,3.372,0.016,0.029,Yes
UTL_UTR,WanT_Group,1,56,0.457,0.502,0.004,No
UTL_UTR,phase,2.93,164.29,9.026,1.7e-5,0.083,Yes
UTL_UTR,WanT_Group:phase,2.93,164.29,0.734,0.53,0.007,No
UTR_MTR,WanT_Group,1,55,3.328,0.074,0.027,No
UTR_MTR,phase,3.37,185.46,12.313,5.85e-8,0.107,Yes
UTR_MTR,WanT_Group:phase,3.37,185.46,0.942,0.43,0.009,No
