Muscle_Pair,Effect,DFn,DFd,F_value,p_value,eta_squared_partial,Significant
MTL_MTR,Cluster_Group,1,55,0.104,0.749,8.79E-04,No
MTL_MTR,phase,3.29,180.83,9.253,4.76E-06,0.082,Yes
MTL_MTR,Cluster_Group:phase,3.29,180.83,0.338,0.816,0.003,No
SCML_MTL,Cluster_Group,1,56,7.002,0.011,0.052,Yes
SCML_MTL,phase,2.76,154.67,16.26,9.34E-09,0.14,Yes
SCML_MTL,Cluster_Group:phase,2.76,154.67,3.507,0.02,0.034,Yes
SCML_SCMR,Cluster_Group,1,55,8.981,0.004,0.071,Yes
SCML_SCMR,phase,2.76,151.69,4.461,0.006,0.041,Yes
SCML_SCMR,Cluster_Group:phase,2.76,151.69,1.723,0.169,0.016,No
SCML_STL,Cluster_Group,1,56,2.304,0.135,0.017,No
SCML_STL,phase,3.19,178.57,7.114,1.08E-04,0.068,Yes
SCML_STL,Cluster_Group:phase,3.19,178.57,3.827,0.009,0.038,Yes
SCML_UTL,Cluster_Group,1,56,0.391,0.534,0.002,No
SCML_UTL,phase,3.44,192.52,11.514,1.30E-07,0.12,Yes
SCML_UTL,Cluster_Group:phase,3.44,192.52,2.287,0.071,0.026,No
SCMR_MTR,Cluster_Group,1,54,2.311,0.134,0.021,No
SCMR_MTR,phase,3,162.15,6.381,4.08E-04,0.057,Yes
SCMR_MTR,Cluster_Group:phase,3,162.15,0.928,0.429,0.009,No
SCMR_STR,Cluster_Group,1,54,0.001,0.972,1.16E-05,No
SCMR_STR,phase,4,216,6.22,9.37E-05,0.054,Yes
SCMR_STR,Cluster_Group:phase,4,216,2.265,0.063,0.021,No
SCMR_UTR,Cluster_Group,1,55,0.119,0.732,7.56E-04,No
SCMR_UTR,phase,3.01,165.58,9.087,1.29E-05,0.097,Yes
SCMR_UTR,Cluster_Group:phase,3.01,165.58,1.141,0.334,0.013,No
STL_STR,Cluster_Group,1,55,0.008,0.929,6.14E-05,No
STL_STR,phase,3.14,172.54,3.414,0.017,0.035,Yes
STL_STR,Cluster_Group:phase,3.14,172.54,0.569,0.643,0.006,No
UTL_MTL,Cluster_Group,1,56,0.006,0.94,5.35E-05,No
UTL_MTL,phase,4,224,8.698,1.52E-06,0.07,Yes
UTL_MTL,Cluster_Group:phase,4,224,0.974,0.423,0.008,No
UTL_UTR,Cluster_Group,1,56,4.149,0.046,0.031,Yes
UTL_UTR,phase,2.93,164.14,7.046,1.98E-04,0.067,Yes
UTL_UTR,Cluster_Group:phase,2.93,164.14,0.673,0.567,0.007,No
UTR_MTR,Cluster_Group,1,55,0.096,0.758,8.32E-04,No
UTR_MTR,phase,3.33,183.34,8.541,1.11E-05,0.075,Yes
UTR_MTR,Cluster_Group:phase,3.33,183.34,1.114,0.348,0.01,No
