Muscle_Pair,Phase,Comparison,High_Mean,Low_Mean,High_SD,Low_SD,High_n,Low_n,t_statistic,df,p_value,p_adjusted,Significant
MTL_MTR,WU,High-Activation vs Low-Activation,0.840967334,0.831736225,0.098539798,0.073258258,16,41,0.339853008,21.78835086,0.73722161,1,No
MTL_MTR,ST,High-Activation vs Low-Activation,0.813765345,0.788605697,0.189150286,0.150906401,16,41,0.476191987,22.84858865,0.638459573,1,No
MTL_MTR,VO2,High-Activation vs Low-Activation,0.746980084,0.742241012,0.186810405,0.144932834,16,41,0.091314092,22.41067744,0.928054323,1,No
MTL_MTR,WanT,High-Activation vs Low-Activation,0.679838508,0.702441436,0.187988202,0.16409771,16,41,-0.422244631,24.43679537,0.67653843,1,No
MTL_MTR,CD,High-Activation vs Low-Activation,0.756365587,0.722615911,0.16557133,0.188500976,16,41,0.664444062,31.0346663,0.511313258,1,No
SCML_MTL,WU,High-Activation vs Low-Activation,0.750443626,0.72100838,0.153256154,0.123208075,16,42,0.688197962,22.79029308,0.498273882,1,No
SCML_MTL,ST,High-Activation vs Low-Activation,0.619942368,0.693035009,0.230885823,0.166003442,16,42,-1.15744971,21.18896256,0.259970236,1,No
SCML_MTL,VO2,High-Activation vs Low-Activation,0.540396049,0.64425495,0.244053923,0.173947555,16,42,-1.558124901,21.07869107,0.134092015,0.670460074,No
SCML_MTL,WanT,High-Activation vs Low-Activation,0.417483278,0.615350232,0.205673239,0.160771554,16,42,-3.465882431,22.35285175,0.002159422,0.010797109,Yes
SCML_MTL,CD,High-Activation vs Low-Activation,0.491064789,0.601950051,0.235671076,0.174687908,16,42,-1.711430423,21.59030631,0.101331959,0.506659797,No
SCML_SCMR,WU,High-Activation vs Low-Activation,0.696932482,0.747990367,0.204130138,0.102987684,16,41,-0.954225676,18.06115886,0.352567349,1,No
SCML_SCMR,ST,High-Activation vs Low-Activation,0.695329547,0.734347227,0.200074008,0.161617206,16,41,-0.696419398,23.05138055,0.493129476,1,No
SCML_SCMR,VO2,High-Activation vs Low-Activation,0.671423471,0.757609606,0.149939384,0.140760185,16,41,-1.983325879,25.94135989,0.05801047,0.290052348,No
SCML_SCMR,WanT,High-Activation vs Low-Activation,0.587182463,0.724492337,0.176995175,0.108434836,16,41,-2.89813654,19.55857668,0.009029845,0.045149223,Yes
SCML_SCMR,CD,High-Activation vs Low-Activation,0.568796435,0.711585805,0.228808602,0.136517034,16,41,-2.339035921,19.31728508,0.030219025,0.151095126,No
SCML_STL,WU,High-Activation vs Low-Activation,0.677589749,0.657783791,0.179254261,0.162408448,16,42,0.385745716,24.95548155,0.702953818,1,No
SCML_STL,ST,High-Activation vs Low-Activation,0.706414718,0.702007019,0.173057937,0.168156319,16,42,0.087370003,26.47768349,0.931034837,1,No
SCML_STL,VO2,High-Activation vs Low-Activation,0.673066523,0.727800701,0.208049805,0.146249466,16,42,-0.965379746,20.90785077,0.345389083,1,No
SCML_STL,WanT,High-Activation vs Low-Activation,0.485999256,0.668693778,0.19017081,0.150337205,16,42,-3.453567729,22.52538719,0.002206433,0.011032164,Yes
SCML_STL,CD,High-Activation vs Low-Activation,0.603530967,0.632488555,0.181081878,0.158855324,16,42,-0.562495488,24.31971271,0.578927142,1,No
SCML_UTL,WU,High-Activation vs Low-Activation,0.728022278,0.710883706,0.152583683,0.147958134,16,42,0.385517241,26.43011915,0.702939697,1,No
SCML_UTL,ST,High-Activation vs Low-Activation,0.759362184,0.667405515,0.13861433,0.18273427,16,42,2.058317284,35.7099757,0.046913878,0.234569392,No
SCML_UTL,VO2,High-Activation vs Low-Activation,0.588025378,0.65301069,0.146280903,0.20150069,16,42,-1.353828873,37.37792354,0.183920845,0.919604223,No
SCML_UTL,WanT,High-Activation vs Low-Activation,0.518637137,0.596570434,0.188012199,0.20547208,16,42,-1.37456927,29.51930495,0.179610877,0.898054383,No
SCML_UTL,CD,High-Activation vs Low-Activation,0.520166635,0.581999393,0.222945592,0.164491467,16,42,-1.009620949,21.52766569,0.323890954,1,No
SCMR_MTR,WU,High-Activation vs Low-Activation,0.663645577,0.739451831,0.226445201,0.108907694,16,40,-1.281110425,17.84534956,0.216553607,1,No
SCMR_MTR,ST,High-Activation vs Low-Activation,0.658546744,0.665810972,0.269102861,0.183571157,16,40,-0.099143381,20.8262822,0.921972541,1,No
SCMR_MTR,VO2,High-Activation vs Low-Activation,0.578938818,0.618221235,0.209826672,0.199028112,16,40,-0.642163953,26.42315951,0.526299465,1,No
SCMR_MTR,WanT,High-Activation vs Low-Activation,0.490513043,0.616658212,0.251000713,0.143358615,16,40,-1.890703488,19.04519777,0.07397732,0.369886599,No
SCMR_MTR,CD,High-Activation vs Low-Activation,0.575256551,0.632932112,0.237031109,0.21435625,16,40,-0.844869409,25.37473636,0.40607965,1,No
SCMR_STR,WU,High-Activation vs Low-Activation,0.623946763,0.564085732,0.166479575,0.213450558,16,40,1.117143945,35.33599932,0.271471306,1,No
SCMR_STR,ST,High-Activation vs Low-Activation,0.690151051,0.643432736,0.173574577,0.211788586,16,40,0.852335499,33.60177149,0.400062367,1,No
SCMR_STR,VO2,High-Activation vs Low-Activation,0.697586098,0.687127671,0.168941405,0.163071173,16,40,0.211351233,26.83065404,0.834210364,1,No
SCMR_STR,WanT,High-Activation vs Low-Activation,0.547452489,0.647915349,0.21636053,0.145541552,16,40,-1.709080795,20.66106878,0.102415682,0.512078412,No
SCMR_STR,CD,High-Activation vs Low-Activation,0.555466082,0.578815758,0.187433741,0.167460587,16,40,-0.433832845,25.12292738,0.668112629,1,No
SCMR_UTR,WU,High-Activation vs Low-Activation,0.722162576,0.718786711,0.186859201,0.125760461,16,41,0.066617114,20.5310597,0.94753098,1,No
SCMR_UTR,ST,High-Activation vs Low-Activation,0.708616073,0.632459715,0.230675879,0.193300339,16,41,1.169968769,23.68042999,0.253654499,1,No
SCMR_UTR,VO2,High-Activation vs Low-Activation,0.551697952,0.625208058,0.217674266,0.211199,16,41,-1.155198621,26.69454862,0.25824509,1,No
SCMR_UTR,WanT,High-Activation vs Low-Activation,0.528523419,0.544357066,0.227760525,0.22532744,16,41,-0.236546325,27.16091571,0.814783655,1,No
SCMR_UTR,CD,High-Activation vs Low-Activation,0.514497023,0.565941208,0.247185417,0.209274584,16,41,-0.735895204,23.8650179,0.46896628,1,No
STL_STR,WU,High-Activation vs Low-Activation,0.827589577,0.785362422,0.098184599,0.128102288,16,41,1.333499493,35.64897716,0.190826419,0.954132094,No
STL_STR,ST,High-Activation vs Low-Activation,0.77103805,0.790494782,0.160259712,0.133000701,16,41,-0.431134272,23.51009348,0.670298163,1,No
STL_STR,VO2,High-Activation vs Low-Activation,0.779197527,0.800504516,0.191289495,0.11056411,16,41,-0.419064031,19.04470517,0.679857994,1,No
STL_STR,WanT,High-Activation vs Low-Activation,0.738101227,0.738276324,0.153209596,0.135380949,16,41,-0.004002184,24.67472245,0.99683891,1,No
STL_STR,CD,High-Activation vs Low-Activation,0.72752768,0.740726599,0.17321952,0.146137203,16,41,-0.269635757,23.80133068,0.789764406,1,No
UTL_MTL,WU,High-Activation vs Low-Activation,0.771643837,0.748959635,0.168443029,0.132912338,16,42,0.48429766,22.49652823,0.632856183,1,No
