.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif,Muscle_Pair
CCI,WU,ST,57,57,1.6313656608801814,56,0.108,1,ns,MTL_MTR
CCI,WU,VO2,57,57,4.046731204068138,56,1.61e-4,0.002,**,MTL_MTR
CCI,WU,WanT,57,57,5.511117821131287,56,9.35e-7,9.35e-6,****,MTL_MTR
CCI,WU,CD,57,57,4.0002268022779734,56,1.87e-4,0.002,**,MTL_MTR
CCI,ST,VO2,57,57,3.1180793548866963,56,0.003,0.029,*,MTL_MTR
CCI,ST,WanT,57,57,3.785556820161163,56,3.76e-4,0.004,**,MTL_MTR
CCI,ST,CD,57,57,2.613142283915217,56,0.012,0.115,ns,MTL_MTR
CCI,VO2,WanT,57,57,1.8435398256414686,56,0.07,0.705,ns,MTL_MTR
CCI,VO2,CD,57,57,0.4759377489031923,56,0.636,1,ns,MTL_MTR
CCI,WanT,CD,57,57,-1.7883942776717519,56,0.079,0.791,ns,MTL_MTR
CCI,WU,ST,58,58,2.699566143720277,57,0.009,0.091,ns,SCML_MTL
CCI,WU,VO2,58,58,4.158665234145618,57,1.09e-4,0.001,**,SCML_MTL
CCI,WU,WanT,58,58,5.233047053260574,57,2.49e-6,2.49e-5,****,SCML_MTL
CCI,WU,CD,58,58,4.762843835819686,57,1.35e-5,1.35e-4,***,SCML_MTL
CCI,ST,VO2,58,58,2.9228961906143915,57,0.005,0.05,*,SCML_MTL
CCI,ST,WanT,58,58,3.7686148642699906,57,3.91e-4,0.004,**,SCML_MTL
CCI,ST,CD,58,58,3.1072201831603508,57,0.003,0.029,*,SCML_MTL
CCI,VO2,WanT,58,58,1.9767606508056172,57,0.053,0.529,ns,SCML_MTL
CCI,VO2,CD,58,58,1.373603760071333,57,0.175,1,ns,SCML_MTL
CCI,WanT,CD,58,58,-0.4670765168699897,57,0.642,1,ns,SCML_MTL
CCI,WU,ST,57,57,0.47475101711750733,56,0.637,1,ns,SCML_SCMR
CCI,WU,VO2,57,57,0.010624677969301327,56,0.992,1,ns,SCML_SCMR
CCI,WU,WanT,57,57,1.8547512450813084,56,0.069,0.689,ns,SCML_SCMR
CCI,WU,CD,57,57,2.502855577401191,56,0.015,0.153,ns,SCML_SCMR
CCI,ST,VO2,57,57,-0.6541283617144956,56,0.516,1,ns,SCML_SCMR
CCI,ST,WanT,57,57,1.5360935782729024,56,0.13,1,ns,SCML_SCMR
CCI,ST,CD,57,57,1.7878767511332712,56,0.079,0.792,ns,SCML_SCMR
CCI,VO2,WanT,57,57,2.2973241907108033,56,0.025,0.254,ns,SCML_SCMR
CCI,VO2,CD,57,57,2.256214743825285,56,0.028,0.28,ns,SCML_SCMR
CCI,WanT,CD,57,57,0.8146742605010995,56,0.419,1,ns,SCML_SCMR
CCI,WU,ST,58,58,-1.9984110153292791,57,0.051,0.505,ns,SCML_STL
CCI,WU,VO2,58,58,-1.8943020420561927,57,0.063,0.633,ns,SCML_STL
CCI,WU,WanT,58,58,1.3723186771299714,57,0.175,1,ns,SCML_STL
CCI,WU,CD,58,58,1.6191609126469968,57,0.111,1,ns,SCML_STL
CCI,ST,VO2,58,58,-0.4305786483521732,57,0.668,1,ns,SCML_STL
CCI,ST,WanT,58,58,2.777472321733814,57,0.007,0.074,ns,SCML_STL
CCI,ST,CD,58,58,2.8297689229215437,57,0.006,0.064,ns,SCML_STL
CCI,VO2,WanT,58,58,3.8353557879140667,57,3.16e-4,0.003,**,SCML_STL
CCI,VO2,CD,58,58,3.061691320123422,57,0.003,0.034,*,SCML_STL
CCI,WanT,CD,58,58,-0.22856195565893916,57,0.82,1,ns,SCML_STL
CCI,WU,ST,58,58,0.9787086991583744,57,0.332,1,ns,SCML_UTL
CCI,WU,VO2,58,58,2.6459108620172307,57,0.011,0.105,ns,SCML_UTL
CCI,WU,WanT,58,58,4.6141100821133785,57,2.28e-5,2.28e-4,***,SCML_UTL
CCI,WU,CD,58,58,4.936244113775402,57,7.29e-6,7.29e-5,****,SCML_UTL
CCI,ST,VO2,58,58,2.2770120609607494,57,0.027,0.266,ns,SCML_UTL
CCI,ST,WanT,58,58,3.5153894753892603,57,8.68e-4,0.009,**,SCML_UTL
CCI,ST,CD,58,58,3.5932647769367096,57,6.82e-4,0.007,**,SCML_UTL
CCI,VO2,WanT,58,58,1.9031201384700565,57,0.062,0.621,ns,SCML_UTL
CCI,VO2,CD,58,58,2.1748905256455573,57,0.034,0.338,ns,SCML_UTL
CCI,WanT,CD,58,58,0.31971585776314565,57,0.75,1,ns,SCML_UTL
CCI,WU,ST,56,56,1.9496712360554895,55,0.056,0.563,ns,SCMR_MTR
CCI,WU,VO2,56,56,3.59800007383772,55,6.88e-4,0.007,**,SCMR_MTR
CCI,WU,WanT,56,56,5.625716151249898,55,6.42e-7,6.42e-6,****,SCMR_MTR
CCI,WU,CD,56,56,3.6157174060355777,55,6.51e-4,0.007,**,SCMR_MTR
CCI,ST,VO2,56,56,2.829860684053271,55,0.006,0.065,ns,SCMR_MTR
CCI,ST,WanT,56,56,2.754449268669802,55,0.008,0.08,ns,SCMR_MTR
CCI,ST,CD,56,56,1.3675568807606078,55,0.177,1,ns,SCMR_MTR
CCI,VO2,WanT,56,56,0.9076103255576565,55,0.368,1,ns,SCMR_MTR
CCI,VO2,CD,56,56,-0.2606537710523248,55,0.795,1,ns,SCMR_MTR
CCI,WanT,CD,56,56,-1.2364551842311369,55,0.222,1,ns,SCMR_MTR
CCI,WU,ST,56,56,-2.8969780976921458,55,0.005,0.054,ns,SCMR_STR
CCI,WU,VO2,56,56,-3.7380216637971264,55,4.43e-4,0.004,**,SCMR_STR
CCI,WU,WanT,56,56,-1.2377968963802595,55,0.221,1,ns,SCMR_STR
CCI,WU,CD,56,56,0.3804575725381835,55,0.705,1,ns,SCMR_STR
CCI,ST,VO2,56,56,-1.3197159786383752,55,0.192,1,ns,SCMR_STR
CCI,ST,WanT,56,56,1.140207692340934,55,0.259,1,ns,SCMR_STR
CCI,ST,CD,56,56,3.0810121593593327,55,0.003,0.032,*,SCMR_STR
CCI,VO2,WanT,56,56,2.8529151938841952,55,0.006,0.061,ns,SCMR_STR
CCI,VO2,CD,56,56,4.515920630813216,55,3.38e-5,3.38e-4,***,SCMR_STR
CCI,WanT,CD,56,56,1.6770711380018912,55,0.099,0.992,ns,SCMR_STR
CCI,WU,ST,57,57,2.047669994864172,56,0.045,0.453,ns,SCMR_UTR
CCI,WU,VO2,57,57,3.1319558342483105,56,0.003,0.028,*,SCMR_UTR
CCI,WU,WanT,57,57,5.5507437875486065,56,8.08e-7,8.08e-6,****,SCMR_UTR
CCI,WU,CD,57,57,5.488037661697813,56,1.02e-6,1.02e-5,****,SCMR_UTR
CCI,ST,VO2,57,57,2.0102299217916073,56,0.049,0.492,ns,SCMR_UTR
CCI,ST,WanT,57,57,2.8878418954519054,56,0.005,0.055,ns,SCMR_UTR
CCI,ST,CD,57,57,2.605595855595611,56,0.012,0.117,ns,SCMR_UTR
CCI,VO2,WanT,57,57,1.847313717189842,56,0.07,0.7,ns,SCMR_UTR
CCI,VO2,CD,57,57,1.3522528555390372,56,0.182,1,ns,SCMR_UTR
CCI,WanT,CD,57,57,-0.3642486057497058,56,0.717,1,ns,SCMR_UTR
CCI,WU,ST,57,57,0.7201232231413724,56,0.474,1,ns,STL_STR
CCI,WU,VO2,57,57,0.11898607538548765,56,0.906,1,ns,STL_STR
CCI,WU,WanT,57,57,2.369298475306415,56,0.021,0.213,ns,STL_STR
CCI,WU,CD,57,57,2.7342044673845987,56,0.008,0.084,ns,STL_STR
CCI,ST,VO2,57,57,-0.5493321468348613,56,0.585,1,ns,STL_STR
CCI,ST,WanT,57,57,2.0151353094422717,56,0.049,0.487,ns,STL_STR
CCI,ST,CD,57,57,1.8713594881995665,56,0.066,0.665,ns,STL_STR
CCI,VO2,WanT,57,57,2.9141400286108126,56,0.005,0.051,ns,STL_STR
CCI,VO2,CD,57,57,2.341122615800102,56,0.023,0.228,ns,STL_STR
CCI,WanT,CD,57,57,0.054880192395459826,56,0.956,1,ns,STL_STR
CCI,WU,ST,58,58,3.4524782262007054,57,0.001,0.01,*,UTL_MTL
CCI,WU,VO2,58,58,5.901093614529531,57,2.09e-7,2.09e-6,****,UTL_MTL
CCI,WU,WanT,58,58,4.898332363519922,57,8.35e-6,8.35e-5,****,UTL_MTL
CCI,WU,CD,58,58,3.922061767779004,57,2.38e-4,0.002,**,UTL_MTL
CCI,ST,VO2,58,58,3.092228249310499,57,0.003,0.031,*,UTL_MTL
CCI,ST,WanT,58,58,1.8406030401569744,57,0.071,0.709,ns,UTL_MTL
CCI,ST,CD,58,58,0.7060376924562752,57,0.483,1,ns,UTL_MTL
CCI,VO2,WanT,58,58,-0.4787283088889886,57,0.634,1,ns,UTL_MTL
CCI,VO2,CD,58,58,-1.8609514674477161,57,0.068,0.679,ns,UTL_MTL
CCI,WanT,CD,58,58,-1.3207500204312272,57,0.192,1,ns,UTL_MTL
CCI,WU,ST,58,58,0.7236967082341268,57,0.472,1,ns,UTL_UTR
CCI,WU,VO2,58,58,3.53380001976648,57,8.2e-4,0.008,**,UTL_UTR
CCI,WU,WanT,58,58,3.6376052973831925,57,5.93e-4,0.006,**,UTL_UTR
CCI,WU,CD,58,58,4.482952006518377,57,3.61e-5,3.61e-4,***,UTL_UTR
CCI,ST,VO2,58,58,3.2052670569344355,57,0.002,0.022,*,UTL_UTR
CCI,ST,WanT,58,58,3.2020425287456518,57,0.002,0.022,*,UTL_UTR
CCI,ST,CD,58,58,3.3333496431964678,57,0.002,0.015,*,UTL_UTR
CCI,VO2,WanT,58,58,0.9526290853506454,57,0.345,1,ns,UTL_UTR
CCI,VO2,CD,58,58,1.0730009446700952,57,0.288,1,ns,UTL_UTR
CCI,WanT,CD,58,58,0.2826732049735308,57,0.778,1,ns,UTL_UTR
CCI,WU,ST,57,57,3.7594949681298493,56,4.08e-4,0.004,**,UTR_MTR
CCI,WU,VO2,57,57,5.949376420205941,56,1.84e-7,1.84e-6,****,UTR_MTR
CCI,WU,WanT,57,57,5.927497604674246,56,1.99e-7,1.99e-6,****,UTR_MTR
CCI,WU,CD,57,57,5.312701846845371,56,1.93e-6,1.93e-5,****,UTR_MTR
CCI,ST,VO2,57,57,3.68703484013047,56,5.14e-4,0.005,**,UTR_MTR
CCI,ST,WanT,57,57,2.5140441294033278,56,0.015,0.148,ns,UTR_MTR
CCI,ST,CD,57,57,1.5148358870966878,56,0.135,1,ns,UTR_MTR
CCI,VO2,WanT,57,57,0.13414605291559992,56,0.894,1,ns,UTR_MTR
CCI,VO2,CD,57,57,-0.9742475085368965,56,0.334,1,ns,UTR_MTR
CCI,WanT,CD,57,57,-1.024847538856564,56,0.31,1,ns,UTR_MTR
