.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif,Muscle_Pair
CCI,Warmup,SecondThreshold,56,56,1.6200874043938445,55,0.111,1,ns,MTL_MTR
CCI,Warmup,VO2max,56,56,4.056671171240348,55,1.58e-4,0.002,**,MTL_MTR
CCI,Warmup,WanT,56,56,5.42175400996478,55,1.35e-6,1.35e-5,****,MTL_MTR
CCI,Warmup,Cooldown,56,56,4.004455531801946,55,1.88e-4,0.002,**,MTL_MTR
CCI,SecondThreshold,VO2max,56,56,3.1416851254356533,55,0.003,0.027,*,MTL_MTR
CCI,SecondThreshold,WanT,56,56,3.710680466580746,55,4.83e-4,0.005,**,MTL_MTR
CCI,SecondThreshold,Cooldown,56,56,2.6230511330910447,55,0.011,0.113,ns,MTL_MTR
CCI,VO2max,WanT,56,56,1.7595617850925438,55,0.084,0.84,ns,MTL_MTR
CCI,VO2max,Cooldown,56,56,0.4714525368981804,55,0.639,1,ns,MTL_MTR
CCI,WanT,Cooldown,56,56,-1.687688563345207,55,0.097,0.971,ns,MTL_MTR
CCI,Warmup,SecondThreshold,57,57,2.706422455730717,56,0.009,0.09,ns,SCML_MTL
CCI,Warmup,VO2max,57,57,4.17567047507919,56,1.05e-4,0.001,**,SCML_MTL
CCI,Warmup,WanT,57,57,5.1430401264436405,56,3.58e-6,3.58e-5,****,SCML_MTL
CCI,Warmup,Cooldown,57,57,4.655260099022324,56,2.03e-5,2.03e-4,***,SCML_MTL
CCI,SecondThreshold,VO2max,57,57,2.929662905502579,56,0.005,0.049,*,SCML_MTL
CCI,SecondThreshold,WanT,57,57,3.6711588468374132,56,5.4e-4,0.005,**,SCML_MTL
CCI,SecondThreshold,Cooldown,57,57,2.9997027562079848,56,0.004,0.04,*,SCML_MTL
CCI,VO2max,WanT,57,57,1.873503553963366,56,0.066,0.662,ns,SCML_MTL
CCI,VO2max,Cooldown,57,57,1.263158011778938,56,0.212,1,ns,SCML_MTL
CCI,WanT,Cooldown,57,57,-0.4993910000005146,56,0.619,1,ns,SCML_MTL
CCI,Warmup,SecondThreshold,56,56,0.4495293276711111,55,0.655,1,ns,SCML_SCMR
CCI,Warmup,VO2max,56,56,-0.019478232115963372,55,0.985,1,ns,SCML_SCMR
CCI,Warmup,WanT,56,56,1.785023037770923,55,0.08,0.798,ns,SCML_SCMR
CCI,Warmup,Cooldown,56,56,2.5408580955404623,55,0.014,0.139,ns,SCML_SCMR
CCI,SecondThreshold,VO2max,56,56,-0.6632043067668386,55,0.51,1,ns,SCML_SCMR
CCI,SecondThreshold,WanT,56,56,1.4840103903121604,55,0.144,1,ns,SCML_SCMR
CCI,SecondThreshold,Cooldown,56,56,1.8385071633709718,55,0.071,0.714,ns,SCML_SCMR
CCI,VO2max,WanT,56,56,2.242167058492238,55,0.029,0.29,ns,SCML_SCMR
CCI,VO2max,Cooldown,56,56,2.3191344774463256,55,0.024,0.241,ns,SCML_SCMR
CCI,WanT,Cooldown,56,56,0.9737310616911389,55,0.334,1,ns,SCML_SCMR
CCI,Warmup,SecondThreshold,57,57,-1.8232583540531015,56,0.074,0.736,ns,SCML_STL
CCI,Warmup,VO2max,57,57,-1.7269674453947712,56,0.09,0.897,ns,SCML_STL
CCI,Warmup,WanT,57,57,1.534367741237084,56,0.131,1,ns,SCML_STL
CCI,Warmup,Cooldown,57,57,1.446691533271904,56,0.154,1,ns,SCML_STL
CCI,SecondThreshold,VO2max,57,57,-0.389479180586713,56,0.698,1,ns,SCML_STL
CCI,SecondThreshold,WanT,57,57,2.8025053384455116,56,0.007,0.069,ns,SCML_STL
CCI,SecondThreshold,Cooldown,57,57,2.6132223253572744,56,0.012,0.115,ns,SCML_STL
CCI,VO2max,WanT,57,57,3.8269474689226124,56,3.29e-4,0.003,**,SCML_STL
CCI,VO2max,Cooldown,57,57,2.8466533778408176,56,0.006,0.062,ns,SCML_STL
CCI,WanT,Cooldown,57,57,-0.6063787753591293,56,0.547,1,ns,SCML_STL
CCI,Warmup,SecondThreshold,57,57,0.9979606023760528,56,0.323,1,ns,SCML_UTL
CCI,Warmup,VO2max,57,57,2.678142272353731,56,0.01,0.097,ns,SCML_UTL
CCI,Warmup,WanT,57,57,4.631309688002375,56,2.21e-5,2.21e-4,***,SCML_UTL
CCI,Warmup,Cooldown,57,57,4.888173724975882,56,8.93e-6,8.93e-5,****,SCML_UTL
CCI,SecondThreshold,VO2max,57,57,2.2934488163449642,56,0.026,0.256,ns,SCML_UTL
CCI,SecondThreshold,WanT,57,57,3.507980293279322,56,8.98e-4,0.009,**,SCML_UTL
CCI,SecondThreshold,Cooldown,57,57,3.537278103434913,56,8.2e-4,0.008,**,SCML_UTL
CCI,VO2max,WanT,57,57,1.880106530925431,56,0.065,0.653,ns,SCML_UTL
CCI,VO2max,Cooldown,57,57,2.1040176838879106,56,0.04,0.399,ns,SCML_UTL
CCI,WanT,Cooldown,57,57,0.2695486028864855,56,0.788,1,ns,SCML_UTL
CCI,Warmup,SecondThreshold,55,55,1.8871455669637485,54,0.064,0.645,ns,SCMR_MTR
CCI,Warmup,VO2max,55,55,3.5828128467010734,54,7.3e-4,0.007,**,SCMR_MTR
CCI,Warmup,WanT,55,55,5.592936873404131,54,7.6e-7,7.6e-6,****,SCMR_MTR
CCI,Warmup,Cooldown,55,55,3.648410113683031,54,5.95e-4,0.006,**,SCMR_MTR
CCI,SecondThreshold,VO2max,55,55,2.9061334557810237,54,0.005,0.053,ns,SCMR_MTR
CCI,SecondThreshold,WanT,55,55,2.7858274141999213,54,0.007,0.074,ns,SCMR_MTR
CCI,SecondThreshold,Cooldown,55,55,1.4400839502948473,54,0.156,1,ns,SCMR_MTR
CCI,VO2max,WanT,55,55,0.8919571654725186,54,0.376,1,ns,SCMR_MTR
CCI,VO2max,Cooldown,55,55,-0.22970350721647403,54,0.819,1,ns,SCMR_MTR
CCI,WanT,Cooldown,55,55,-1.18255318541881,54,0.242,1,ns,SCMR_MTR
CCI,Warmup,SecondThreshold,55,55,-2.9579289628407923,54,0.005,0.046,*,SCMR_STR
CCI,Warmup,VO2max,55,55,-3.7765851914170194,54,3.98e-4,0.004,**,SCMR_STR
CCI,Warmup,WanT,55,55,-1.283786656201921,54,0.205,1,ns,SCMR_STR
CCI,Warmup,Cooldown,55,55,0.24481935866689228,54,0.808,1,ns,SCMR_STR
CCI,SecondThreshold,VO2max,55,55,-1.2982466890585134,54,0.2,1,ns,SCMR_STR
CCI,SecondThreshold,WanT,55,55,1.1366630280608874,54,0.261,1,ns,SCMR_STR
CCI,SecondThreshold,Cooldown,55,55,3.006144721122214,54,0.004,0.04,*,SCMR_STR
CCI,VO2max,WanT,55,55,2.8270625602272066,54,0.007,0.066,ns,SCMR_STR
CCI,VO2max,Cooldown,55,55,4.4165836696071885,54,4.86e-5,4.86e-4,***,SCMR_STR
CCI,WanT,Cooldown,55,55,1.6088292651491234,54,0.113,1,ns,SCMR_STR
CCI,Warmup,SecondThreshold,56,56,2.046951263144326,55,0.046,0.455,ns,SCMR_UTR
CCI,Warmup,VO2max,56,56,3.1601087452854864,55,0.003,0.026,*,SCMR_UTR
CCI,Warmup,WanT,56,56,5.599052886208645,55,7.08e-7,7.08e-6,****,SCMR_UTR
CCI,Warmup,Cooldown,56,56,5.492233135112518,55,1.05e-6,1.05e-5,****,SCMR_UTR
CCI,SecondThreshold,VO2max,56,56,2.046128844272906,55,0.046,0.455,ns,SCMR_UTR
CCI,SecondThreshold,WanT,56,56,2.905753867927645,55,0.005,0.053,ns,SCMR_UTR
CCI,SecondThreshold,Cooldown,56,56,2.597222310848486,55,0.012,0.12,ns,SCMR_UTR
CCI,VO2max,WanT,56,56,1.8394919219422567,55,0.071,0.712,ns,SCMR_UTR
CCI,VO2max,Cooldown,56,56,1.322687042283594,55,0.191,1,ns,SCMR_UTR
CCI,WanT,Cooldown,56,56,-0.3917550006177319,55,0.697,1,ns,SCMR_UTR
CCI,Warmup,SecondThreshold,56,56,0.5513346073313748,55,0.584,1,ns,STL_STR
CCI,Warmup,VO2max,56,56,-0.04896640641677669,55,0.961,1,ns,STL_STR
CCI,Warmup,WanT,56,56,2.2804605586396614,55,0.026,0.265,ns,STL_STR
CCI,Warmup,Cooldown,56,56,2.7477615811888776,55,0.008,0.081,ns,STL_STR
CCI,SecondThreshold,VO2max,56,56,-0.5965023764579109,55,0.553,1,ns,STL_STR
CCI,SecondThreshold,WanT,56,56,2.049927373058196,55,0.045,0.452,ns,STL_STR
CCI,SecondThreshold,Cooldown,56,56,2.0213930130889164,55,0.048,0.481,ns,STL_STR
CCI,VO2max,WanT,56,56,3.0179599256166405,55,0.004,0.038,*,STL_STR
CCI,VO2max,Cooldown,56,56,2.5586401541750976,55,0.013,0.133,ns,STL_STR
CCI,WanT,Cooldown,56,56,0.16893847532198708,55,0.866,1,ns,STL_STR
CCI,Warmup,SecondThreshold,57,57,3.5266961167651054,56,8.48e-4,0.008,**,UTL_MTL
