Phase,Muscle_Pair,spearman_rho,p_value,n,significant,,
Warmup,MTL_MTR,0.005219079,0.968984216,58,FALSE,,
Warmup,SCML_MTL,-0.12473671,0.346549097,59,FALSE,,
Warmup,SCML_SCMR,-0.081014108,0.54547863,58,FALSE,,
Warmup,SCML_STL,-0.105802135,0.425140068,59,FALSE,,
Warmup,SCML_UTL,-0.224692275,0.087095952,59,FALSE,,
Warmup,SCMR_MTR,-0.392021992,0.002562575,57,TRUE,0.153681242,15.36812423
Warmup,SCMR_STR,-0.029912266,0.825186804,57,FALSE,,
Warmup,SCMR_UTR,-0.178874899,0.179116629,58,FALSE,,
Warmup,STL_STR,0.027157961,0.839632376,58,FALSE,,
Warmup,UTL_MTL,-0.139100871,0.293390946,59,FALSE,,
Warmup,UTL_UTR,-0.321145834,0.013135764,59,TRUE,,
Warmup,UTR_MTR,-0.17091702,0.199564729,58,FALSE,,
SecondThreshold,MTL_MTR,-0.039704,0.767298062,58,FALSE,,
SecondThreshold,SCML_MTL,-0.164996338,0.215818241,58,FALSE,,
SecondThreshold,SCML_SCMR,-0.215005654,0.108242949,57,FALSE,,
SecondThreshold,SCML_STL,-0.179791697,0.176862076,58,FALSE,,
SecondThreshold,SCML_UTL,-0.269999684,0.040390448,58,TRUE,0.072899829,7.289982912
SecondThreshold,SCMR_MTR,-0.313707561,0.01748744,57,TRUE,0.098412434,9.841243393
SecondThreshold,SCMR_STR,0.020477167,0.88092512,56,FALSE,,
SecondThreshold,SCMR_UTR,-0.416456246,0.001271821,57,TRUE,0.173435805,17.34358052
SecondThreshold,STL_STR,0.166688036,0.215242584,57,FALSE,,
SecondThreshold,UTL_MTL,-0.295751098,0.024194558,58,TRUE,0.087468712,8.746871224
SecondThreshold,UTL_UTR,-0.141117754,0.290683132,58,FALSE,,
SecondThreshold,UTR_MTR,-0.069669283,0.603295392,58,FALSE,,
VO2max,MTL_MTR,0.04312216,0.745717343,59,FALSE,,
VO2max,SCML_MTL,-0.036830421,0.781825544,59,FALSE,,
VO2max,SCML_SCMR,-0.134210872,0.315174948,58,FALSE,,
VO2max,SCML_STL,-0.079626123,0.548848398,59,FALSE,,
VO2max,SCML_UTL,-0.013444142,0.919501689,59,FALSE,,
VO2max,SCMR_MTR,-0.215224979,0.104696186,58,FALSE,,
VO2max,SCMR_STR,0.023290718,0.863462179,57,FALSE,,
VO2max,SCMR_UTR,-0.009064078,0.946160877,58,FALSE,,
VO2max,STL_STR,0.100725097,0.451860441,58,FALSE,,
VO2max,UTL_MTL,-0.069773021,0.599506402,59,FALSE,,
VO2max,UTL_UTR,-0.021012037,0.874487811,59,FALSE,,
VO2max,UTR_MTR,0.106870543,0.420453069,59,FALSE,,
WanT,MTL_MTR,-0.02455006,0.854856753,58,FALSE,,
WanT,SCML_MTL,-0.195148904,0.14210086,58,FALSE,,
WanT,SCML_SCMR,-0.044696238,0.741295544,57,FALSE,,
WanT,SCML_STL,-0.264693331,0.044650534,58,TRUE,0.07006256,7.006255968
WanT,SCML_UTL,0.079456042,0.553258059,58,FALSE,,
WanT,SCMR_MTR,-0.254453516,0.05612148,57,FALSE,,
WanT,SCMR_STR,-0.076355538,0.575941501,56,FALSE,,
WanT,SCMR_UTR,0.180347757,0.179444416,57,FALSE,,
WanT,STL_STR,-0.108988832,0.419651534,57,FALSE,,
WanT,UTL_MTL,0.069623533,0.603533882,58,FALSE,,
WanT,UTL_UTR,0.043309864,0.746839554,58,FALSE,,
WanT,UTR_MTR,0.130629905,0.328377388,58,FALSE,,
Cooldown,MTL_MTR,-0.005045263,0.969747917,59,FALSE,,
Cooldown,SCML_MTL,-0.229470436,0.080412898,59,FALSE,,
Cooldown,SCML_SCMR,-0.063386038,0.636426511,58,FALSE,,
Cooldown,SCML_STL,-0.029618662,0.82377963,59,FALSE,,
Cooldown,SCML_UTL,-0.305742943,0.018527482,59,TRUE,0.093478747,9.347874714
Cooldown,SCMR_MTR,-0.057384993,0.668745509,58,FALSE,,
Cooldown,SCMR_STR,0.055476053,0.681899998,57,FALSE,,
Cooldown,SCMR_UTR,0.050633817,0.705829129,58,FALSE,,
Cooldown,STL_STR,0.112663349,0.399773387,58,FALSE,,
Cooldown,UTL_MTL,-0.151684351,0.251451292,59,FALSE,,
Cooldown,UTL_UTR,0.049888748,0.707483838,59,FALSE,,
Cooldown,UTR_MTR,-0.034604569,0.794714518,59,FALSE,,
