DV,Grouping,Unit,Group1,Group2,Group1_Median,Group1_n,Group2_Median,Group2_n,U_statistic,p_value,p_value-adj,Significant
Δ%MVC,Cluster,MTL,High-Response,Low-Response,-2.52441476,16,-0.768688285,43,190,0.008866652,0.070933213,FALSE
Δ%MVC,Cluster,MTR,High-Response,Low-Response,-3.363030044,16,-1.235502752,42,200,0.018407179,0.147257433,FALSE
Δ%MVC,Cluster,SCML,High-Response,Low-Response,4.188760191,16,0.178884784,43,496,0.009793012,0.078344095,FALSE
Δ%MVC,VO2max,MTR,Low-VO2max,High-VO2max,-3.174314492,29,-1.385562436,29,276,0.02513076,0.201046083,FALSE
Δ%MVC,VO2max,STL,Low-VO2max,High-VO2max,-1.759468984,29,0.501696011,30,305,0.04959113,0.396729044,FALSE
Δ%MVC,VO2max,UTL,Low-VO2max,High-VO2max,-1.287209237,29,0.37877374,30,286,0.024350649,0.194805188,FALSE
Δ%MVC,VO2max,UTR,Low-VO2max,High-VO2max,-1.766993882,29,0.616711569,30,292,0.030727842,0.245822738,FALSE
Δ%MVC,RPE,MTL,High-ΔRPE,Low-ΔRPE,-0.768688285,41,-2.958658551,17,466,0.045647561,0.547770731,FALSE
Δ%MVC,RPE,UTR,High-ΔRPE,Low-ΔRPE,0.597914874,41,-2.170320966,17,476,0.030047664,0.360571963,FALSE
ΔCCI,WanT,MTL_MTR,Low-WanT,High-WanT,-0.024791849,28,-0.084316041,30,577,0.014882481,0.178589772,FALSE
ΔCCI,WanT,SCML_SCMR,Low-WanT,High-WanT,0.017514978,29,-0.095013887,29,593,0.007476869,0.089722428,FALSE
ΔCCI,WanT,STL_STR,Low-WanT,High-WanT,0.028899595,29,-0.0776819,29,583,0.011758504,0.141102044,FALSE
ΔCCI,WanT,UTL_MTL,Low-WanT,High-WanT,0.047709904,29,-0.189989746,30,690,1.14E-04,0.001367795,TRUE
ΔCCI,RPE,SCMR_MTR,High-ΔRPE,Low-ΔRPE,-0.037142823,40,-0.197548284,16,442,0.027550086,0.330601037,FALSE
ΔCCI,RPE,SCMR_UTR,High-ΔRPE,Low-ΔRPE,-0.135041158,40,-0.246628368,17,456,0.043939123,0.527269482,FALSE
ΔCCI,RPE,UTL_UTR,High-ΔRPE,Low-ΔRPE,-0.050315908,41,-0.174655216,17,472,0.035629379,0.427552554,FALSE
