DV,Grouping,Unit,Effect,DFn,DFd,F_value,p_value,eta_squared_partial,Significant
%MVC,Cluster,MTL,Group,1,57,8.053,0.006,0.093,Yes
%MVC,Cluster,MTL,Phase,1,57,15.567,2.21e-4,0.07,Yes
%MVC,Cluster,MTL,Group:Phase,1,57,7.671,0.008,0.036,Yes
%MVC,Cluster,MTR,Group,1,56,11.446,0.001,0.142,Yes
%MVC,Cluster,MTR,Phase,1,56,23.371,1.08e-5,0.075,Yes
%MVC,Cluster,MTR,Group:Phase,1,56,5.653,0.021,0.019,Yes
%MVC,Cluster,SCML,Group,1,57,5.948,0.018,0.053,Yes
%MVC,Cluster,SCML,Phase,1,57,4.574,0.037,0.036,Yes
%MVC,Cluster,SCML,Group:Phase,1,57,4.358,0.041,0.035,Yes
%MVC,Cluster,SCMR,Group,1,56,10.081,0.002,0.145,Yes
%MVC,Cluster,SCMR,Phase,1,56,0.003,0.958,2.75e-6,No
%MVC,Cluster,SCMR,Group:Phase,1,56,1.092,0.3,0.001,No
%MVC,Cluster,STL,Group,1,57,13.508,5.27e-4,0.14,Yes
%MVC,Cluster,STL,Phase,1,57,4.164,0.046,0.023,Yes
%MVC,Cluster,STL,Group:Phase,1,57,2.519,0.118,0.014,No
%MVC,Cluster,STR,Group,1,56,5.794,0.019,0.054,Yes
%MVC,Cluster,STR,Phase,1,56,1.481,0.229,0.012,No
%MVC,Cluster,STR,Group:Phase,1,56,2.327,0.133,0.018,No
%MVC,Cluster,UTL,Group,1,57,6.245,0.015,0.082,Yes
%MVC,Cluster,UTL,Phase,1,57,0.003,0.954,1.09e-5,No
%MVC,Cluster,UTL,Group:Phase,1,57,0.038,0.847,1.23e-4,No
%MVC,Cluster,UTR,Group,1,57,6.152,0.016,0.075,Yes
%MVC,Cluster,UTR,Phase,1,57,0.269,0.606,0.001,No
%MVC,Cluster,UTR,Group:Phase,1,57,0.013,0.911,5.38e-5,No
%MVC,VO2max,MTL,Group,1,57,2.788,0.1,0.034,No
%MVC,VO2max,MTL,Phase,1,57,8.077,0.006,0.038,Yes
%MVC,VO2max,MTL,Group:Phase,1,57,0.255,0.616,0.001,No
%MVC,VO2max,MTR,Group,1,56,1.279,0.263,0.019,No
