DV,Grouping,Unit,Group1,Group2,Group1_Median,Group1_n,Group2_Median,Group2_n,U_statistic,p_value,Significant
Δ%MVC,Cluster,MTL,High-Response,Low-Response,-2.52441476,16,-0.768688285,43,190,0.008866652,TRUE
Δ%MVC,Cluster,MTR,High-Response,Low-Response,-3.363030044,16,-1.235502752,42,200,0.018407179,TRUE
Δ%MVC,Cluster,SCML,High-Response,Low-Response,4.188760191,16,0.178884784,43,496,0.009793012,TRUE
Δ%MVC,Cluster,SCMR,High-Response,Low-Response,2.483496257,16,0.950290617,42,372,0.536838063,FALSE
Δ%MVC,Cluster,STL,High-Response,Low-Response,-1.818655499,16,-0.775393703,43,318,0.663728373,FALSE
Δ%MVC,Cluster,STR,High-Response,Low-Response,-1.605556554,16,-0.74301409,42,322,0.814315427,FALSE
Δ%MVC,Cluster,UTL,High-Response,Low-Response,-1.839058646,16,-0.559243996,43,321,0.701258768,FALSE
Δ%MVC,Cluster,UTR,High-Response,Low-Response,-1.662482397,16,0.484674284,43,300,0.458288001,FALSE
Δ%MVC,VO2max,MTL,Low-VO2max,High-VO2max,-1.257261551,29,-1.389685611,30,426,0.897455239,FALSE
Δ%MVC,VO2max,MTR,Low-VO2max,High-VO2max,-3.174314492,29,-1.385562436,29,276,0.02513076,TRUE
Δ%MVC,VO2max,SCML,Low-VO2max,High-VO2max,-0.386900547,29,1.392403004,30,358,0.246093592,FALSE
Δ%MVC,VO2max,SCMR,Low-VO2max,High-VO2max,1.111824046,29,1.158255288,29,429,0.900990357,FALSE
Δ%MVC,VO2max,STL,Low-VO2max,High-VO2max,-1.759468984,29,0.501696011,30,305,0.04959113,TRUE
Δ%MVC,VO2max,STR,Low-VO2max,High-VO2max,-0.979573115,28,-0.759311246,30,449,0.657421687,FALSE
Δ%MVC,VO2max,UTL,Low-VO2max,High-VO2max,-1.287209237,29,0.37877374,30,286,0.024350649,TRUE
Δ%MVC,VO2max,UTR,Low-VO2max,High-VO2max,-1.766993882,29,0.616711569,30,292,0.030727842,TRUE
Δ%MVC,WanT,MTL,Low-WanT,High-WanT,-1.381232442,29,-1.298967269,30,397,0.569645591,FALSE
Δ%MVC,WanT,MTR,Low-WanT,High-WanT,-1.361891534,28,-1.895917588,30,457,0.570062051,FALSE
Δ%MVC,WanT,SCML,Low-WanT,High-WanT,-0.357497147,29,1.543755319,30,379,0.400074141,FALSE
Δ%MVC,WanT,SCMR,Low-WanT,High-WanT,1.005692052,29,1.859204378,29,401,0.767631318,FALSE
Δ%MVC,WanT,STL,Low-WanT,High-WanT,-1.044871504,29,-0.667935667,30,412,0.732995089,FALSE
Δ%MVC,WanT,STR,Low-WanT,High-WanT,-1.036969994,29,-0.531582491,29,357,0.327218565,FALSE
Δ%MVC,WanT,UTL,Low-WanT,High-WanT,-0.559243996,29,-0.794776683,30,475,0.549241269,FALSE
Δ%MVC,WanT,UTR,Low-WanT,High-WanT,0.322305485,29,-1.047838192,30,466,0.643765959,FALSE
Δ%MVC,RPE,MTL,High-ΔRPE,Low-ΔRPE,-0.768688285,41,-2.958658551,17,466,0.045647561,TRUE
Δ%MVC,RPE,MTR,High-ΔRPE,Low-ΔRPE,-1.383202066,41,-2.555747266,16,402,0.191788967,FALSE
Δ%MVC,RPE,SCML,High-ΔRPE,Low-ΔRPE,0.837359398,41,0.9860682,17,344,0.945523344,FALSE
Δ%MVC,RPE,SCMR,High-ΔRPE,Low-ΔRPE,0.950290617,40,2.188458605,17,244,0.095751205,FALSE
Δ%MVC,RPE,STL,High-ΔRPE,Low-ΔRPE,-0.560477631,41,-1.309394416,17,358,0.877813667,FALSE
Δ%MVC,RPE,STR,High-ΔRPE,Low-ΔRPE,-0.633633569,41,-1.87061612,16,393,0.25201375,FALSE
Δ%MVC,RPE,UTL,High-ΔRPE,Low-ΔRPE,-0.35232589,41,-1.431789255,17,366,0.771509969,FALSE
Δ%MVC,RPE,UTR,High-ΔRPE,Low-ΔRPE,0.597914874,41,-2.170320966,17,476,0.030047664,TRUE
ΔCCI,Cluster,MTL_MTR,High-Response,Low-Response,-0.047045209,16,-0.05683843,42,356,0.734424503,FALSE
ΔCCI,Cluster,SCML_MTL,High-Response,Low-Response,-0.289513218,16,-0.053574101,43,235,0.064326573,FALSE
ΔCCI,Cluster,SCML_SCMR,High-Response,Low-Response,-0.06582998,16,-0.014065109,42,275,0.292555485,FALSE
ΔCCI,Cluster,SCML_STL,High-Response,Low-Response,-0.048483064,16,-0.035961406,43,328,0.791569713,FALSE
ΔCCI,Cluster,SCML_UTL,High-Response,Low-Response,-0.080919153,16,-0.119771867,43,294,0.39868729,FALSE
ΔCCI,Cluster,SCMR_MTR,High-Response,Low-Response,-0.113050521,16,-0.038953169,41,311,0.769500992,FALSE
ΔCCI,Cluster,SCMR_STR,High-Response,Low-Response,-0.084694942,16,-0.007601971,41,244,0.138101601,FALSE
ΔCCI,Cluster,SCMR_UTR,High-Response,Low-Response,-0.189218062,16,-0.123250277,42,281,0.343053727,FALSE
ΔCCI,Cluster,STL_STR,High-Response,Low-Response,-0.105942647,16,-0.015810779,42,262,0.201004115,FALSE
ΔCCI,Cluster,UTL_MTL,High-Response,Low-Response,-0.126881348,16,-0.043020406,43,287,0.335388462,FALSE
ΔCCI,Cluster,UTL_UTR,High-Response,Low-Response,0.007236122,16,-0.087837448,43,394,0.39868729,FALSE
ΔCCI,Cluster,UTR_MTR,High-Response,Low-Response,-0.067922362,16,-0.127735552,42,397,0.292555485,FALSE
ΔCCI,VO2max,MTL_MTR,Low-VO2max,High-VO2max,-0.068026092,29,-0.038260524,29,339,0.207793821,FALSE
ΔCCI,VO2max,SCML_MTL,Low-VO2max,High-VO2max,-0.203983473,29,-0.052671962,30,319,0.07991035,FALSE
ΔCCI,VO2max,SCML_SCMR,Low-VO2max,High-VO2max,-0.018759973,29,-0.026472331,29,443,0.732254163,FALSE
ΔCCI,VO2max,SCML_STL,Low-VO2max,High-VO2max,-0.069784698,29,-0.02812065,30,306,0.051377646,FALSE
ΔCCI,VO2max,SCML_UTL,Low-VO2max,High-VO2max,-0.149529052,29,-0.074057131,30,351,0.205504586,FALSE
ΔCCI,VO2max,SCMR_MTR,Low-VO2max,High-VO2max,-0.035332477,29,-0.070913044,28,412,0.930040975,FALSE
ΔCCI,VO2max,SCMR_STR,Low-VO2max,High-VO2max,-0.026348893,28,0.021615662,29,326,0.204436772,FALSE
ΔCCI,VO2max,SCMR_UTR,Low-VO2max,High-VO2max,-0.123436832,29,-0.160855299,29,457,0.575584009,FALSE
ΔCCI,VO2max,STL_STR,Low-VO2max,High-VO2max,-0.047486183,28,-0.029730682,30,374,0.478942106,FALSE
ΔCCI,VO2max,UTL_MTL,Low-VO2max,High-VO2max,-0.091946617,29,-0.047885073,30,411,0.721611356,FALSE
ΔCCI,VO2max,UTL_UTR,Low-VO2max,High-VO2max,-0.012810196,29,-0.104714482,30,490,0.408618696,FALSE
ΔCCI,VO2max,UTR_MTR,Low-VO2max,High-VO2max,-0.114380447,29,-0.088735179,29,374,0.474386827,FALSE
ΔCCI,WanT,MTL_MTR,Low-WanT,High-WanT,-0.024791849,28,-0.084316041,30,577,0.014882481,TRUE
ΔCCI,WanT,SCML_MTL,Low-WanT,High-WanT,-0.082115014,29,-0.162885921,30,530,0.151913486,FALSE
ΔCCI,WanT,SCML_SCMR,Low-WanT,High-WanT,0.017514978,29,-0.095013887,29,593,0.007476869,TRUE
ΔCCI,WanT,SCML_STL,Low-WanT,High-WanT,-0.069784698,29,-0.025352246,30,390,0.499861772,FALSE
ΔCCI,WanT,SCML_UTL,Low-WanT,High-WanT,-0.070533392,29,-0.168395592,30,556,0.067697321,FALSE
ΔCCI,WanT,SCMR_MTR,Low-WanT,High-WanT,-0.024963059,28,-0.10844983,29,516,0.08048403,FALSE
ΔCCI,WanT,SCMR_STR,Low-WanT,High-WanT,-0.026446667,29,0.010175227,28,334,0.253739815,FALSE
ΔCCI,WanT,SCMR_UTR,Low-WanT,High-WanT,-0.10502801,29,-0.175933142,29,488,0.297440931,FALSE
ΔCCI,WanT,STL_STR,Low-WanT,High-WanT,0.028899595,29,-0.0776819,29,583,0.011758504,TRUE
ΔCCI,WanT,UTL_MTL,Low-WanT,High-WanT,0.047709904,29,-0.189989746,30,690,1.14E-04,TRUE
ΔCCI,WanT,UTL_UTR,Low-WanT,High-WanT,-0.040810092,29,-0.124416784,30,485,0.452943351,FALSE
ΔCCI,WanT,UTR_MTR,Low-WanT,High-WanT,-0.049905247,28,-0.153806498,30,534,0.077375291,FALSE
ΔCCI,RPE,MTL_MTR,High-ΔRPE,Low-ΔRPE,-0.048403523,41,-0.071914679,16,388,0.290659672,FALSE
ΔCCI,RPE,SCML_MTL,High-ΔRPE,Low-ΔRPE,-0.115323691,41,-0.086753099,17,333,0.797768912,FALSE
ΔCCI,RPE,SCML_SCMR,High-ΔRPE,Low-ΔRPE,-0.017921289,40,-0.029718563,17,358,0.760173321,FALSE
ΔCCI,RPE,SCML_STL,High-ΔRPE,Low-ΔRPE,-0.026116023,41,-0.042284991,17,352,0.959128603,FALSE
ΔCCI,RPE,SCML_UTL,High-ΔRPE,Low-ΔRPE,-0.145086379,41,-0.073012555,17,320,0.632432089,FALSE
ΔCCI,RPE,SCMR_MTR,High-ΔRPE,Low-ΔRPE,-0.037142823,40,-0.197548284,16,442,0.027550086,TRUE
ΔCCI,RPE,SCMR_STR,High-ΔRPE,Low-ΔRPE,-0.019864774,40,-0.032445844,16,343,0.683214656,FALSE
ΔCCI,RPE,SCMR_UTR,High-ΔRPE,Low-ΔRPE,-0.135041158,40,-0.246628368,17,456,0.043939123,TRUE
ΔCCI,RPE,STL_STR,High-ΔRPE,Low-ΔRPE,-0.032954356,41,-0.077440493,16,351,0.68946353,FALSE
ΔCCI,RPE,UTL_MTL,High-ΔRPE,Low-ΔRPE,-0.068580943,41,-0.055973853,17,348,1,FALSE
ΔCCI,RPE,UTL_UTR,High-ΔRPE,Low-ΔRPE,-0.050315908,41,-0.174655216,17,472,0.035629379,TRUE
ΔCCI,RPE,UTR_MTR,High-ΔRPE,Low-ΔRPE,-0.088735179,41,-0.158515683,16,374,0.419064082,FALSE
