Measurement,Reference Column,Value
Spinotransversalis POP Horiz AP R,Singh P 2025 c2 horizontal m&f,0.66 ± 0.07
Semispinalis POP Horiz AP R,Sidiropoulos 2025 m&f SCM two probes c4,1.18 ± 0.30
Semispinalis POP Horiz ML R,Sidiropoulos 2025,3.79 ± 0.47
Semispinalis POP Horiz CSA R,Sidiropoulos 2025,2.49 ± 0.59
Trapezius C4 Horiz AP R,Kuzu 2020 c4 m&f,0.16 ± 0.04
Spinotransversalis C4 Horiz AP R,Kuzu 2020 c4 m&f,0.42 ± 0.09
Semispinalis C4 Horiz AP R,Kuzu 2020,0.63 ± 0.08
Semispinalis C4 Horiz AP R,Øverås c4,0.39 ± 0.07
Semispinalis C4 Horiz AP R,Rezasoltani 1998 c3 male,0.58 ± 0.08
Semispinalis C4 Horiz AP R,Rankin 2005 c3,0.53 ± 0.08
Semispinalis C4 Horiz ML R,Rezasoltani 1998 c3 male,3.85 ± 0.39
Semispinalis C4 Horiz CSA R,Rezasoltani 1998,1.99 ± 0.37
Semispinalis C4 Horiz CSA R,Rezasoltani 1999 male sports,WL 2.47±0.65; Wr 2.90±0.51; Ctrl 2.04±0.31
Semispinalis C4 Horiz CSA R,Rankin 2005 c3,1.77 ± 0.4
Multifidus C4 Horiz AP R,Kuzu 2020 c4 m&f,1.48 ± 0.15
Multifidus C4 Horiz AP R,Sidiropoulos 2025,0.78 ± 0.13
Multifidus C4 Horiz ML R,Sidiropoulos 2025,2.69 ± 0.34
Multifidus C4 Horiz CSA R,Sidiropoulos 2025,1.41 ± 0.31
Multifidus C4 Long AP R,Sidiropoulos 2025,0.78 ± 0.13
SCM C4 Horiz AP R,Pirri 2021 c4,0.81 ± 0.2
SCM C4 Horiz AP R,Sidiropoulos 2025,0.98 ± 0.18
SCM C4 Horiz AP R,Nagai 2020 c4,0.91 ± 0.13
