Subject_ID,has_ch1_kin,has_ch2_scm,has_ch3_us,has_anthro,n_domains
541,True,True,False,True,2
542,False,False,True,False,1
560,True,True,True,True,3
570,True,True,True,True,3
571,True,True,True,True,3
572,True,True,True,True,3
573,True,True,True,True,3
574,True,True,True,True,3
575,True,True,True,True,3
576,False,False,True,False,1
577,True,True,True,True,3
578,True,True,True,True,3
579,True,True,True,True,3
580,True,True,True,True,3
581,True,True,True,True,3
582,True,True,True,True,3
583,True,True,True,True,3
584,True,True,True,True,3
585,True,True,True,True,3
586,True,True,True,True,3
587,True,True,True,True,3
588,True,True,True,True,3
590,True,True,True,True,3
591,True,True,True,True,3
594,True,True,True,True,3
595,True,True,True,True,3
596,True,True,True,True,3
597,True,False,True,True,2
598,True,True,True,True,3
600,True,True,True,True,3
601,True,True,True,True,3
602,True,True,True,True,3
603,True,True,True,True,3
604,True,True,True,True,3
605,True,True,True,True,3
606,True,True,True,True,3
607,True,True,True,True,3
608,True,True,True,True,3
609,True,True,True,True,3
610,True,True,True,True,3
611,True,True,True,True,3
612,True,True,True,True,3
613,True,True,False,True,2
614,True,True,True,True,3
615,True,True,True,True,3
616,True,True,True,True,3
617,True,True,True,True,3
618,True,True,True,True,3
619,True,True,False,True,2
620,True,True,False,True,2
621,True,True,True,True,3
622,True,True,True,True,3
623,True,True,True,True,3
624,True,True,True,True,3
625,True,True,True,True,3
626,True,True,True,True,3
627,True,True,True,True,3
628,True,True,True,True,3
629,True,True,True,True,3
630,True,True,True,True,3
631,True,True,True,True,3
632,True,True,True,True,3
