segment,time_sec,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL
second_threshold,660,,,,,,,,
second_threshold,661,,,,,,,,
second_threshold,662,,,,,,,,
second_threshold,663,,,,,,,,
second_threshold,664,,,,,,,,
second_threshold,665,,,,,,,,
second_threshold,666,,,,,,,,
second_threshold,667,,,,,,,,
second_threshold,668,,,,,,,,
second_threshold,669,,,,,,,,
second_threshold,670,,,,,,,,
second_threshold,671,,,,,,,,
second_threshold,672,,,,,,,,
second_threshold,673,,,,,,,,
second_threshold,674,,,,,,,,
second_threshold,675,,,,,,,,
second_threshold,676,,,,,,,,
second_threshold,677,,,,,,,,
second_threshold,678,,,,,,,,
second_threshold,679,,,,,,,,
second_threshold,680,,,,,,,,
second_threshold,681,,,,,,,,
second_threshold,682,,,,,,,,
second_threshold,683,,,,,,,,
second_threshold,684,,,,,,,,
second_threshold,685,,,,,,,,
second_threshold,686,,,,,,,,
second_threshold,687,,,,,,,,
second_threshold,688,,,,,,,,
second_threshold,689,,,,,,,,
second_threshold,690,,,,,,,,
second_threshold,691,,,,,,,,
second_threshold,692,,,,,,,,
second_threshold,693,,,,,,,,
second_threshold,694,,,,,,,,
second_threshold,695,,,,,,,,
second_threshold,696,,,,,,,,
second_threshold,697,,,,,,,,
second_threshold,698,,,,,,,,
second_threshold,699,,,,,,,,
second_threshold,700,,,,,,,,
second_threshold,701,,,,,,,,
second_threshold,702,,,,,,,,
second_threshold,703,,,,,,,,
second_threshold,704,,,,,,,,
second_threshold,705,,,,,,,,
second_threshold,706,,,,,,,,
second_threshold,707,,,,,,,,
second_threshold,708,,,,,,,,
second_threshold,709,,,,,,,,
second_threshold,710,,,,,,,,
second_threshold,711,,,,,,,,
second_threshold,712,,,,,,,,
second_threshold,713,,,,,,,,
second_threshold,714,,,,,,,,
second_threshold,715,,,,,,,,
second_threshold,716,,,,,,,,
second_threshold,717,,,,,,,,
second_threshold,718,,,,,,,,
second_threshold,719,,,,,,,,
vo2max,780,,,,,,,,
vo2max,781,,,,,,,,
vo2max,782,,,,,,,,
vo2max,783,,,,,,,,
vo2max,784,,,,,,,,
vo2max,785,,,,,,,,
vo2max,786,,,,,,,,
vo2max,787,,,,,,,,
vo2max,788,,,,,,,,
vo2max,789,,,,,,,,
vo2max,790,,,,,,,,
vo2max,791,,,,,,,,
vo2max,792,,,,,,,,
vo2max,793,,,,,,,,
vo2max,794,,,,,,,,
vo2max,795,,,,,,,,
vo2max,796,,,,,,,,
vo2max,797,,,,,,,,
vo2max,798,,,,,,,,
vo2max,799,,,,,,,,
vo2max,800,,,,,,,,
vo2max,801,,,,,,,,
vo2max,802,,,,,,,,
vo2max,803,,,,,,,,
vo2max,804,,,,,,,,
vo2max,805,,,,,,,,
vo2max,806,,,,,,,,
vo2max,807,,,,,,,,
vo2max,808,,,,,,,,
vo2max,809,,,,,,,,
vo2max,810,,,,,,,,
vo2max,811,,,,,,,,
vo2max,812,,,,,,,,
vo2max,813,,,,,,,,
vo2max,814,,,,,,,,
vo2max,815,,,,,,,,
vo2max,816,,,,,,,,
vo2max,817,,,,,,,,
vo2max,818,,,,,,,,
vo2max,819,,,,,,,,
vo2max,820,,,,,,,,
vo2max,821,,,,,,,,
vo2max,822,,,,,,,,
vo2max,823,,,,,,,,
vo2max,824,,,,,,,,
vo2max,825,,,,,,,,
vo2max,826,,,,,,,,
vo2max,827,,,,,,,,
vo2max,828,,,,,,,,
vo2max,829,,,,,,,,
vo2max,830,,,,,,,,
vo2max,831,,,,,,,,
vo2max,832,,,,,,,,
vo2max,833,,,,,,,,
vo2max,834,,,,,,,,
vo2max,835,,,,,,,,
vo2max,836,,,,,,,,
vo2max,837,,,,,,,,
vo2max,838,,,,,,,,
vo2max,839,,,,,,,,
