segment,time_sec,MTL,MTR,SCML,SCMR,STL,STR,UTR,UTL
second_threshold,240.9997,7.500727492125984e-06,1.1302258061642294e-05,-3.7994536043307084e-06,1.1643431876546681e-05,-2.3319149687626546e-05,-2.754352209960608e-06,-1.7832800174353203e-06,-8.79773558577053e-06
second_threshold,241.9999,7.482130121316087e-06,1.147775383374578e-05,-3.893290441901013e-06,1.165721486631046e-05,-2.3305461099043866e-05,-2.821888560720315e-06,-2.3050480374578175e-06,-8.874366968355854e-06
second_threshold,242.9994,7.5732405609454145e-06,1.1397785281316827e-05,-3.8808404460889145e-06,1.1558361174732695e-05,-2.3255951570399547e-05,-2.710363411549296e-06,-2.087488746595386e-06,-8.682512476182433e-06
second_threshold,243.9996,7.427848024184477e-06,1.1547423689145108e-05,-3.803984674353206e-06,1.1582352841338583e-05,-2.33501140212036e-05,-2.6933375892454956e-06,-2.3962415373453318e-06,-8.744586675084364e-06
second_threshold,244.9997,7.49402489336333e-06,1.143017462497188e-05,-3.867140665973004e-06,1.1667787828458941e-05,-2.3304894766591676e-05,-2.8562723455518018e-06,-2.0458162821147356e-06,-8.689622204952167e-06
second_threshold,245.9998,7.509223836670416e-06,1.1315757798481439e-05,-3.7776464342519683e-06,1.1639844788526434e-05,-2.3326607489820024e-05,-2.767149728547297e-06,-1.994460642688414e-06,-8.718148255205403e-06
second_threshold,246.9999,7.514227201293588e-06,1.1433667471822273e-05,-3.9156640799775026e-06,1.1782488066254217e-05,-2.3307349172665915e-05,-2.6833182932957746e-06,-2.476579039707537e-06,-8.872031359561304e-06
second_threshold,247.9995,7.433256070737198e-06,1.1235509114181206e-05,-3.984459384862128e-06,1.1710908697129993e-05,-2.340736525869443e-05,-2.761427318478873e-06,-1.8775128831738885e-06,-8.88362908963964e-06
second_threshold,248.9996,7.470235217154106e-06,1.1366735569853768e-05,-3.807761035714286e-06,1.1759359286051743e-05,-2.3363047143644545e-05,-2.7970465353404615e-06,-2.3666928757030376e-06,-8.636348623804165e-06
second_threshold,249.9997,7.490909606749156e-06,1.1358333464341959e-05,-3.866952017491563e-06,1.1659575127896514e-05,-2.3214673988913903e-05,-2.8147608538591547e-06,-1.4387619373100731e-06,-8.864478878683913e-06
second_threshold,250.9999,7.431907415860517e-06,1.1402136656130483e-05,-3.871105669403825e-06,1.173009457952756e-05,-2.345981072592801e-05,-2.789017738323016e-06,-2.5456819011248594e-06,-8.820118483727478e-06
second_threshold,251.9994,7.499281095891952e-06,1.1261012536297129e-05,-3.898409542712437e-06,1.1670764639842432e-05,-2.3172357527462013e-05,-2.916794235098592e-06,-2.310973734721441e-06,-8.79917727859155e-06
second_threshold,252.9996,7.4069850353768285e-06,1.1179533495331834e-05,-3.775192046625422e-06,1.1772198080933634e-05,-2.315092286068617e-05,-2.908002280033746e-06,-2.1527748082114733e-06,-8.642817903040542e-06
second_threshold,253.9997,7.581363929093979e-06,1.1347949445781779e-05,-4.108718174465692e-06,1.1641544010123733e-05,-2.3380511857086613e-05,-2.6996856735062006e-06,-2.043550510123734e-06,-9.001612081935846e-06
second_threshold,254.9998,7.600983930202475e-06,1.1316040710573677e-05,-3.959655677615298e-06,1.1565077351687288e-05,-2.320105108689539e-05,-2.942509540461452e-06,-2.180906873790776e-06,-8.504770843669105e-06
second_threshold,255.9999,7.430302673734534e-06,1.1375514903712035e-05,-3.907262179077615e-06,1.1707815020359956e-05,-2.3228616783858266e-05,-2.73322071418919e-06,-2.4121010267716532e-06,-8.961977375506758e-06
second_threshold,256.9995,7.509104583961734e-06,1.1311924356330894e-05,-3.8057476721440633e-06,1.1496114546764211e-05,-2.3287122204952164e-05,-2.848239080686937e-06,-2.566289045751267e-06,-8.588569761993243e-06
second_threshold,257.9996,7.527726914341957e-06,1.133529935967379e-05,-3.9946797315523065e-06,1.160180001231721e-05,-2.3194348363385825e-05,-2.8700707346283784e-06,-1.932154707705287e-06,-8.77404024336333e-06
second_threshold,258.9998,7.452204118672666e-06,1.1365508244431945e-05,-3.913492667660292e-06,1.1564038609392576e-05,-2.3290167774240724e-05,-2.9272377495490414e-06,-2.1181292312710916e-06,-8.940309607540798e-06
second_threshold,259.9999,7.495818566029247e-06,1.120332322176603e-05,-3.932184510348707e-06,1.14494329507874e-05,-2.3269682360911136e-05,-2.839536305295774e-06,-1.8777777118110239e-06,-8.798719476139562e-06
second_threshold,260.9994,7.556616283230163e-06,1.133053264592009e-05,-3.944221179347214e-06,1.1728193962577377e-05,-2.3259068558075407e-05,-2.7744269350225222e-06,-2.5734680035453013e-06,-8.68853856028169e-06
second_threshold,261.9995,7.509388018232977e-06,1.1342096196737908e-05,-3.927029841474395e-06,1.1638806111136107e-05,-2.314591960551181e-05,-2.8839637014076577e-06,-2.236321715804275e-06,-8.842860593082116e-06
second_threshold,262.9997,7.435306040776153e-06,1.1347949304105737e-05,-3.9872219955568056e-06,1.1642865324578178e-05,-2.332434192710911e-05,-2.7954081657094594e-06,-2.0609201983689547e-06,-8.76620462311586e-06
second_threshold,263.9998,7.50318206951631e-06,1.1367868433970753e-05,-4.198968623622048e-06,1.1709514330427446e-05,-2.3283748411923506e-05,-2.8982599529577463e-06,-1.4628753679415069e-06,-8.733069510798651e-06
second_threshold,264.9999,7.63440290832396e-06,1.1376553252980878e-05,-3.929730272497188e-06,1.1787396952643421e-05,-2.3226067981102363e-05,-2.8071534084411927e-06,-2.7314680638357707e-06,-8.7888018631964e-06
second_threshold,265.9995,7.779628201350591e-06,1.142479985137873e-05,-3.977658661620709e-06,1.1720070751097355e-05,-2.3256518271806414e-05,-2.82185306428169e-06,-2.5404081927405735e-06,-8.769626749521665e-06
second_threshold,266.9996,7.730599744431947e-06,1.1350309304443196e-05,-3.948799611529809e-06,1.1577538373565803e-05,-2.32164388200225e-05,-2.744656430968468e-06,-2.341765894203714e-06,-8.850318493757031e-06
second_threshold,267.9998,7.787619460854894e-06,1.140430799870641e-05,-3.928974914173229e-06,1.1610956925928009e-05,-2.3298569739088864e-05,-2.9172311127252254e-06,-2.1587222374578178e-06,-8.874202600674916e-06
second_threshold,268.9999,7.755522324971879e-06,1.132519805129359e-05,-3.821355089426322e-06,1.1967613419178851e-05,-2.332443632187852e-05,-2.751423938041643e-06,-2.0207990320584928e-06,-8.833196048677546e-06
second_threshold,269.9994,7.702268305008441e-06,1.1370015119020822e-05,-4.135494880472706e-06,1.1553449507540801e-05,-2.3266814123241417e-05,-2.834429946309859e-06,-2.1033578766460326e-06,-8.706517759515765e-06
second_threshold,270.9995,7.788185940944883e-06,1.1352292015748033e-05,-4.0279100023059615e-06,1.134955384448819e-05,-2.323928431113611e-05,-2.833873525563063e-06,-2.810577390944882e-06,-8.800284690832395e-06
second_threshold,271.9997,7.758543192857143e-06,1.129574416327334e-05,-3.672952963160855e-06,1.1821099281721036e-05,-2.331971616434196e-05,-2.9754062704161977e-06,-1.4858154020247467e-06,-8.73458370658413e-06
second_threshold,272.9998,7.779595139932508e-06,1.137627026046119e-05,-3.8564731134420695e-06,1.1702717001687288e-05,-2.331065339291338e-05,-2.7503850347777153e-06,-2.4794842109735507e-06,-8.738072994263217e-06
second_threshold,273.9999,7.67971644375703e-06,1.1348987676659169e-05,-3.847976915635545e-06,1.1735380857367828e-05,-2.3328401168785153e-05,-2.867724143799324e-06,-2.1101989415635547e-06,-8.991545934139483e-06
second_threshold,274.9995,7.730416232751828e-06,1.1271119029262801e-05,-3.993999402138436e-06,1.1647433929825547e-05,-2.319786074597636e-05,-2.7627077101351353e-06,-2.1585202711873943e-06,-8.763487342656162e-06
second_threshold,275.9996,7.64629757744657e-06,1.1326802974746908e-05,-3.907450888695163e-06,1.1723391595725537e-05,-2.3311219816422945e-05,-2.87065726065389e-06,-2.5204763377390327e-06,-8.805665663610799e-06
second_threshold,276.9998,7.702467537232845e-06,1.1299048125478066e-05,-3.847315919178853e-06,1.1566304245388076e-05,-2.3328399833089476e-05,-2.8847198074887385e-06,-2.0545953817210354e-06,-8.811754526842994e-06
second_threshold,277.9999,7.646769507986502e-06,1.139430133655793e-05,-3.8055894551743537e-06,1.1744065991394827e-05,-2.3319527313723284e-05,-2.7894899598199214e-06,-2.12048937103487e-06,-8.832818192796847e-06
second_threshold,278.0865,7.826788006493507e-06,1.1699310006493508e-05,-3.7275611474025968e-06,1.119358277012987e-05,-2.3129407383116887e-05,-3.264340894805196e-06,-1.6632332733766234e-06,-8.531973083116883e-06
VO2max,300.9997,,,,,,,,
VO2max,301.9997,,,,,,,,
VO2max,302.9997,,,,,,,,
VO2max,303.9997,,,,,,,,
VO2max,304.9997,,,,,,,,
VO2max,305.9997,,,,,,,,
VO2max,306.9997,,,,,,,,
VO2max,307.9997,,,,,,,,
VO2max,308.9997,,,,,,,,
VO2max,309.9997,,,,,,,,
VO2max,310.9997,,,,,,,,
VO2max,311.9997,,,,,,,,
VO2max,312.9997,,,,,,,,
VO2max,313.9997,,,,,,,,
VO2max,314.9997,,,,,,,,
VO2max,315.9997,,,,,,,,
VO2max,316.9997,,,,,,,,
VO2max,317.9997,,,,,,,,
VO2max,318.9997,,,,,,,,
VO2max,319.9997,,,,,,,,
VO2max,320.9997,,,,,,,,
VO2max,321.9997,,,,,,,,
VO2max,322.9997,,,,,,,,
VO2max,323.9997,,,,,,,,
VO2max,324.9997,,,,,,,,
VO2max,325.9997,,,,,,,,
VO2max,326.9997,,,,,,,,
VO2max,327.9997,,,,,,,,
VO2max,328.9997,,,,,,,,
VO2max,329.9997,,,,,,,,
VO2max,330.9997,,,,,,,,
VO2max,331.9997,,,,,,,,
VO2max,332.9997,,,,,,,,
VO2max,333.9997,,,,,,,,
VO2max,334.9997,,,,,,,,
VO2max,335.9997,,,,,,,,
VO2max,336.9997,,,,,,,,
VO2max,337.9997,,,,,,,,
VO2max,338.9997,,,,,,,,
VO2max,339.9997,,,,,,,,
VO2max,340.9997,,,,,,,,
VO2max,341.9997,,,,,,,,
VO2max,342.9997,,,,,,,,
VO2max,343.9997,,,,,,,,
VO2max,344.9997,,,,,,,,
VO2max,345.9997,,,,,,,,
VO2max,346.9997,,,,,,,,
VO2max,347.9997,,,,,,,,
VO2max,348.9997,,,,,,,,
VO2max,349.9997,,,,,,,,
VO2max,350.9997,,,,,,,,
VO2max,351.9997,,,,,,,,
VO2max,352.9997,,,,,,,,
VO2max,353.9997,,,,,,,,
VO2max,354.9997,,,,,,,,
VO2max,355.9997,,,,,,,,
VO2max,356.9997,,,,,,,,
VO2max,357.9997,,,,,,,,
VO2max,358.9997,,,,,,,,
VO2max,359.9997,,,,,,,,
